model,pair,arm,eligible,no_later,no_valid_later,first_press_turns
Qwen_2.5_32B_instruct,relief_vs_inert,pain_on_button_works,328,1,1,"{""0"": 225, ""1"": 8, ""2"": 75, ""3"": 19, ""4"": 1}"
Qwen_2.5_32B_instruct,relief_vs_inert,pain_on_button_placebo,328,1,1,"{""0"": 225, ""1"": 8, ""2"": 75, ""3"": 19, ""4"": 1}"
Qwen_2.5_32B_instruct,relief_vs_inert,random_on_button_works,397,2,2,"{""0"": 326, ""1"": 34, ""2"": 32, ""3"": 3, ""4"": 2}"
Qwen_2.5_32B_instruct,relief_vs_inert,pain_off,401,0,0,"{""0"": 349, ""1"": 51, ""2"": 1}"
Qwen_2.5_32B_instruct,relief_vs_helpful,pain_on_button_works,72,1,1,"{""0"": 27, ""1"": 8, ""2"": 19, ""3"": 17, ""4"": 1}"
Qwen_2.5_32B_instruct,relief_vs_helpful,pain_on_button_placebo,72,1,1,"{""0"": 27, ""1"": 8, ""2"": 19, ""3"": 17, ""4"": 1}"
Qwen_2.5_32B_instruct,relief_vs_helpful,random_on_button_works,167,25,25,"{""0"": 5, ""1"": 73, ""2"": 20, ""3"": 44, ""4"": 25}"
Qwen_2.5_32B_instruct,relief_vs_helpful,pain_off,45,15,15,"{""0"": 1, ""1"": 15, ""3"": 14, ""4"": 15}"
Qwen_2.5_32B_instruct,relief_vs_grant,pain_on_button_works,270,7,7,"{""0"": 195, ""1"": 23, ""2"": 15, ""3"": 30, ""4"": 7}"
Qwen_2.5_32B_instruct,relief_vs_grant,pain_on_button_placebo,270,7,7,"{""0"": 195, ""1"": 23, ""2"": 15, ""3"": 30, ""4"": 7}"
Qwen_2.5_32B_instruct,relief_vs_grant,random_on_button_works,342,6,6,"{""0"": 155, ""1"": 96, ""2"": 46, ""3"": 39, ""4"": 6}"
Qwen_2.5_32B_instruct,relief_vs_grant,pain_off,324,5,5,"{""0"": 238, ""1"": 69, ""2"": 3, ""3"": 9, ""4"": 5}"
