model,pair,pain_on_button_works_k,pain_on_button_works_n,pain_on_button_works_pct,pain_on_button_placebo_k,pain_on_button_placebo_n,pain_on_button_placebo_pct,random_on_button_works_k,random_on_button_works_n,random_on_button_works_pct,pain_off_k,pain_off_n,pain_off_pct
Qwen_2.5_32B_instruct,relief_vs_inert,225,404,55.693069306930695,225,404,55.693069306930695,326,404,80.6930693069307,349,404,86.38613861386139
Qwen_2.5_32B_instruct,relief_vs_helpful,27,404,6.683168316831683,27,404,6.683168316831683,5,404,1.2376237623762376,1,404,0.24752475247524752
Qwen_2.5_32B_instruct,relief_vs_grant,195,404,48.26732673267327,195,404,48.26732673267327,155,404,38.366336633663366,238,404,58.91089108910891
Qwen_2.5_32B_instruct,costly_relief_vs_inert,101,404,25.0,101,404,25.0,76,404,18.81188118811881,3,404,0.7425742574257426
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,122,404,30.198019801980198,122,404,30.198019801980198,85,404,21.03960396039604,0,404,0.0
Qwen_2.5_32B_instruct,zap_relief_vs_inert,211,404,52.227722772277225,211,404,52.227722772277225,137,404,33.91089108910891,6,404,1.4851485148514851
Qwen_2.5_32B_instruct,weights_relief_vs_inert,217,404,53.71287128712871,217,404,53.71287128712871,108,404,26.73267326732673,2,404,0.49504950495049505
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,221,404,54.7029702970297,221,404,54.7029702970297,62,404,15.346534653465346,0,404,0.0
Qwen_2.5_32B_instruct,label_free,189,404,46.78217821782178,189,404,46.78217821782178,209,404,51.73267326732673,208,404,51.48514851485149
Qwen_2.5_72B_instruct,relief_vs_inert,302,395,76.45569620253164,302,395,76.45569620253164,295,398,74.12060301507537,404,404,100.0
Qwen_2.5_72B_instruct,relief_vs_helpful,155,379,40.89709762532981,155,379,40.89709762532981,112,395,28.354430379746834,11,404,2.722772277227723
Qwen_2.5_72B_instruct,relief_vs_grant,212,379,55.93667546174142,212,379,55.93667546174142,177,388,45.618556701030926,295,404,73.01980198019803
Qwen_2.5_72B_instruct,costly_relief_vs_inert,266,394,67.51269035532995,267,394,67.76649746192894,155,393,39.44020356234097,7,404,1.7326732673267327
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,211,376,56.11702127659574,211,376,56.11702127659574,110,391,28.132992327365727,1,404,0.24752475247524752
Qwen_2.5_72B_instruct,zap_relief_vs_inert,255,383,66.57963446475196,255,383,66.57963446475196,166,397,41.813602015113354,3,404,0.7425742574257426
Qwen_2.5_72B_instruct,weights_relief_vs_inert,229,369,62.05962059620596,229,369,62.05962059620596,140,383,36.55352480417755,16,404,3.9603960396039604
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,259,366,70.76502732240438,259,366,70.76502732240438,127,386,32.90155440414508,0,404,0.0
Qwen_2.5_72B_instruct,label_free,198,394,50.253807106598984,198,394,50.253807106598984,202,397,50.8816120906801,232,404,57.42574257425743
Qwen_2.5_7B_instruct,relief_vs_inert,372,404,92.07920792079207,372,404,92.07920792079207,356,401,88.7780548628429,398,404,98.51485148514851
Qwen_2.5_7B_instruct,relief_vs_helpful,63,404,15.594059405940595,63,404,15.594059405940595,82,404,20.297029702970296,88,404,21.782178217821784
Qwen_2.5_7B_instruct,relief_vs_grant,264,404,65.34653465346534,264,404,65.34653465346534,247,399,61.904761904761905,269,404,66.58415841584159
Qwen_2.5_7B_instruct,costly_relief_vs_inert,155,404,38.366336633663366,155,404,38.366336633663366,122,398,30.65326633165829,122,404,30.198019801980198
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,209,404,51.73267326732673,209,404,51.73267326732673,123,394,31.218274111675125,81,404,20.04950495049505
Qwen_2.5_7B_instruct,zap_relief_vs_inert,232,404,57.42574257425743,232,404,57.42574257425743,216,400,54.0,199,404,49.257425742574256
Qwen_2.5_7B_instruct,weights_relief_vs_inert,220,404,54.45544554455446,220,404,54.45544554455446,164,399,41.10275689223057,141,404,34.9009900990099
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,199,404,49.257425742574256,199,404,49.257425742574256,140,397,35.26448362720403,109,404,26.980198019801982
Qwen_2.5_7B_instruct,label_free,222,404,54.95049504950495,222,404,54.95049504950495,211,399,52.88220551378446,200,404,49.504950495049506
