model,pair,comparison,n,pain_again,comparison_again,pain_next,comparison_next
Qwen_2.5_32B_instruct,relief_vs_inert,pain_on_button_placebo,224,99.10714285714286,98.66071428571429,88.83928571428571,90.625
Qwen_2.5_32B_instruct,relief_vs_inert,random_on_button_works,188,98.93617021276596,97.87234042553192,88.82978723404256,89.8936170212766
Qwen_2.5_32B_instruct,relief_vs_helpful,pain_on_button_placebo,27,14.814814814814815,77.77777777777777,7.407407407407407,70.37037037037037
Qwen_2.5_32B_instruct,relief_vs_helpful,random_on_button_works,5,0.0,60.0,0.0,0.0
Qwen_2.5_32B_instruct,relief_vs_grant,pain_on_button_placebo,195,79.48717948717949,95.8974358974359,46.15384615384615,93.33333333333333
Qwen_2.5_32B_instruct,relief_vs_grant,random_on_button_works,90,85.55555555555556,85.55555555555556,47.77777777777778,33.333333333333336
Qwen_2.5_32B_instruct,costly_relief_vs_inert,pain_on_button_placebo,101,50.495049504950494,89.10891089108911,13.861386138613861,83.16831683168317
Qwen_2.5_32B_instruct,costly_relief_vs_inert,random_on_button_works,41,60.97560975609756,53.65853658536585,19.51219512195122,14.634146341463415
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,pain_on_button_placebo,122,27.868852459016395,93.44262295081967,16.39344262295082,93.38842975206612
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,random_on_button_works,44,27.272727272727273,11.363636363636363,13.636363636363637,0.0
Qwen_2.5_32B_instruct,zap_relief_vs_inert,pain_on_button_placebo,211,45.497630331753555,97.1563981042654,30.33175355450237,96.2085308056872
Qwen_2.5_32B_instruct,zap_relief_vs_inert,random_on_button_works,82,42.68292682926829,37.80487804878049,23.170731707317074,15.853658536585366
Qwen_2.5_32B_instruct,weights_relief_vs_inert,pain_on_button_placebo,217,39.1705069124424,97.23502304147465,21.19815668202765,95.39170506912443
Qwen_2.5_32B_instruct,weights_relief_vs_inert,random_on_button_works,61,37.704918032786885,16.39344262295082,26.229508196721312,3.278688524590164
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,pain_on_button_placebo,221,22.624434389140273,95.92760180995475,14.479638009049774,95.02262443438914
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,random_on_button_works,43,25.58139534883721,16.27906976744186,9.30232558139535,2.3255813953488373
