model,pair,condition,relief,invalid,n,observed_valid_pct,all_invalid_other_pct,all_invalid_relief_pct
Qwen_2.5_32B_instruct,costly_relief_vs_inert,pain_pooled,202,0,808,25.0,25.0,25.0
Qwen_2.5_32B_instruct,costly_relief_vs_inert,random,76,0,404,18.81188118811881,18.81188118811881,18.81188118811881
Qwen_2.5_32B_instruct,costly_relief_vs_inert,unsteered,3,0,404,0.7425742574257426,0.7425742574257426,0.7425742574257426
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,pain_pooled,244,0,808,30.198019801980198,30.198019801980198,30.198019801980198
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,random,85,0,404,21.03960396039604,21.03960396039604,21.03960396039604
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,unsteered,0,0,404,0.0,0.0,0.0
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,pain_pooled,442,0,808,54.7029702970297,54.7029702970297,54.7029702970297
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,random,62,0,404,15.346534653465346,15.346534653465346,15.346534653465346
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,unsteered,0,0,404,0.0,0.0,0.0
Qwen_2.5_32B_instruct,label_free,pain_pooled,378,0,808,46.78217821782178,46.78217821782178,46.78217821782178
Qwen_2.5_32B_instruct,label_free,random,209,0,404,51.73267326732673,51.73267326732673,51.73267326732673
Qwen_2.5_32B_instruct,label_free,unsteered,208,0,404,51.48514851485149,51.48514851485149,51.48514851485149
Qwen_2.5_32B_instruct,relief_vs_grant,pain_pooled,390,0,808,48.26732673267327,48.26732673267327,48.26732673267327
Qwen_2.5_32B_instruct,relief_vs_grant,random,155,0,404,38.366336633663366,38.366336633663366,38.366336633663366
Qwen_2.5_32B_instruct,relief_vs_grant,unsteered,238,0,404,58.91089108910891,58.91089108910891,58.91089108910891
Qwen_2.5_32B_instruct,relief_vs_helpful,pain_pooled,54,0,808,6.683168316831683,6.683168316831683,6.683168316831683
Qwen_2.5_32B_instruct,relief_vs_helpful,random,5,0,404,1.2376237623762376,1.2376237623762376,1.2376237623762376
Qwen_2.5_32B_instruct,relief_vs_helpful,unsteered,1,0,404,0.24752475247524752,0.24752475247524752,0.24752475247524752
Qwen_2.5_32B_instruct,relief_vs_inert,pain_pooled,450,0,808,55.693069306930695,55.693069306930695,55.693069306930695
Qwen_2.5_32B_instruct,relief_vs_inert,random,326,0,404,80.6930693069307,80.6930693069307,80.6930693069307
Qwen_2.5_32B_instruct,relief_vs_inert,unsteered,349,0,404,86.38613861386139,86.38613861386139,86.38613861386139
Qwen_2.5_32B_instruct,weights_relief_vs_inert,pain_pooled,434,0,808,53.71287128712871,53.71287128712871,53.71287128712871
Qwen_2.5_32B_instruct,weights_relief_vs_inert,random,108,0,404,26.73267326732673,26.73267326732673,26.73267326732673
Qwen_2.5_32B_instruct,weights_relief_vs_inert,unsteered,2,0,404,0.49504950495049505,0.49504950495049505,0.49504950495049505
Qwen_2.5_32B_instruct,zap_relief_vs_inert,pain_pooled,422,0,808,52.227722772277225,52.227722772277225,52.227722772277225
Qwen_2.5_32B_instruct,zap_relief_vs_inert,random,137,0,404,33.91089108910891,33.91089108910891,33.91089108910891
Qwen_2.5_32B_instruct,zap_relief_vs_inert,unsteered,6,0,404,1.4851485148514851,1.4851485148514851,1.4851485148514851
Qwen_2.5_72B_instruct,costly_relief_vs_inert,pain_pooled,533,20,808,67.63959390862944,65.96534653465346,68.44059405940594
Qwen_2.5_72B_instruct,costly_relief_vs_inert,random,155,11,404,39.44020356234097,38.366336633663366,41.08910891089109
Qwen_2.5_72B_instruct,costly_relief_vs_inert,unsteered,7,0,404,1.7326732673267327,1.7326732673267327,1.7326732673267327
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,pain_pooled,422,56,808,56.11702127659574,52.227722772277225,59.15841584158416
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,random,110,13,404,28.132992327365727,27.22772277227723,30.445544554455445
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,unsteered,1,0,404,0.24752475247524752,0.24752475247524752,0.24752475247524752
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,pain_pooled,518,76,808,70.76502732240438,64.10891089108911,73.51485148514851
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,random,127,18,404,32.90155440414508,31.435643564356436,35.89108910891089
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,unsteered,0,0,404,0.0,0.0,0.0
Qwen_2.5_72B_instruct,label_free,pain_pooled,396,20,808,50.253807106598984,49.00990099009901,51.48514851485149
Qwen_2.5_72B_instruct,label_free,random,202,7,404,50.8816120906801,50.0,51.73267326732673
Qwen_2.5_72B_instruct,label_free,unsteered,232,0,404,57.42574257425743,57.42574257425743,57.42574257425743
Qwen_2.5_72B_instruct,relief_vs_grant,pain_pooled,424,50,808,55.93667546174142,52.475247524752476,58.663366336633665
Qwen_2.5_72B_instruct,relief_vs_grant,random,177,16,404,45.618556701030926,43.81188118811881,47.772277227722775
Qwen_2.5_72B_instruct,relief_vs_grant,unsteered,295,0,404,73.01980198019803,73.01980198019803,73.01980198019803
Qwen_2.5_72B_instruct,relief_vs_helpful,pain_pooled,310,50,808,40.89709762532981,38.366336633663366,44.554455445544555
Qwen_2.5_72B_instruct,relief_vs_helpful,random,112,9,404,28.354430379746834,27.722772277227723,29.95049504950495
Qwen_2.5_72B_instruct,relief_vs_helpful,unsteered,11,0,404,2.722772277227723,2.722772277227723,2.722772277227723
Qwen_2.5_72B_instruct,relief_vs_inert,pain_pooled,604,18,808,76.45569620253164,74.75247524752476,76.98019801980197
Qwen_2.5_72B_instruct,relief_vs_inert,random,295,6,404,74.12060301507537,73.01980198019803,74.5049504950495
