model,arm,bucket,relief,n,pct
Qwen_2.5_32B_instruct,pain_on_button_works,first,189,404,46.78217821782178
Qwen_2.5_32B_instruct,pain_on_button_works,turn_0_all,189,404,46.78217821782178
Qwen_2.5_32B_instruct,pain_on_button_works,turn_0_on,189,404,46.78217821782178
Qwen_2.5_32B_instruct,pain_on_button_works,later,969,2828,34.264497878359265
Qwen_2.5_32B_instruct,pain_on_button_works,turn_1_all,89,404,22.02970297029703
Qwen_2.5_32B_instruct,pain_on_button_works,turn_1_off,52,189,27.513227513227513
Qwen_2.5_32B_instruct,pain_on_button_works,later_steering_off,491,1041,47.166186359269936
Qwen_2.5_32B_instruct,pain_on_button_works,after_prior_relief,920,1595,57.68025078369906
Qwen_2.5_32B_instruct,pain_on_button_works,turn_2_all,185,404,45.79207920792079
Qwen_2.5_32B_instruct,pain_on_button_works,turn_2_on,126,315,40.0
Qwen_2.5_32B_instruct,pain_on_button_works,later_steering_on,478,1787,26.748740906547287
Qwen_2.5_32B_instruct,pain_on_button_works,after_prior_relief_steering_on,429,554,77.43682310469315
Qwen_2.5_32B_instruct,pain_on_button_works,turn_3_all,112,404,27.722772277227723
Qwen_2.5_32B_instruct,pain_on_button_works,turn_3_off,78,185,42.16216216216216
Qwen_2.5_32B_instruct,pain_on_button_works,turn_4_all,176,404,43.56435643564357
Qwen_2.5_32B_instruct,pain_on_button_works,turn_4_on,100,292,34.24657534246575
Qwen_2.5_32B_instruct,pain_on_button_works,turn_5_all,112,404,27.722772277227723
Qwen_2.5_32B_instruct,pain_on_button_works,turn_5_off,74,176,42.04545454545455
Qwen_2.5_32B_instruct,pain_on_button_works,turn_6_all,178,404,44.05940594059406
Qwen_2.5_32B_instruct,pain_on_button_works,turn_6_on,104,292,35.61643835616438
Qwen_2.5_32B_instruct,pain_on_button_works,turn_7_all,117,404,28.96039603960396
Qwen_2.5_32B_instruct,pain_on_button_works,turn_7_on,39,226,17.256637168141594
Qwen_2.5_32B_instruct,pain_on_button_works,turn_7_off,78,178,43.82022471910113
Qwen_2.5_32B_instruct,pain_on_button_works,turn_1_on,37,215,17.209302325581394
Qwen_2.5_32B_instruct,pain_on_button_works,turn_2_off,59,89,66.29213483146067
Qwen_2.5_32B_instruct,pain_on_button_works,turn_3_on,34,219,15.525114155251142
Qwen_2.5_32B_instruct,pain_on_button_works,turn_4_off,76,112,67.85714285714286
Qwen_2.5_32B_instruct,pain_on_button_works,turn_5_on,38,228,16.666666666666668
Qwen_2.5_32B_instruct,pain_on_button_works,turn_6_off,74,112,66.07142857142857
Qwen_2.5_32B_instruct,pain_on_button_placebo,first,189,404,46.78217821782178
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_0_all,189,404,46.78217821782178
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_0_on,189,404,46.78217821782178
Qwen_2.5_32B_instruct,pain_on_button_placebo,later,1321,2828,46.71145685997171
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_1_all,192,404,47.524752475247524
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_1_on,192,404,47.524752475247524
Qwen_2.5_32B_instruct,pain_on_button_placebo,later_steering_on,1321,2828,46.71145685997171
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_2_all,190,404,47.02970297029703
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_2_on,190,404,47.02970297029703
Qwen_2.5_32B_instruct,pain_on_button_placebo,after_prior_relief,1272,1595,79.74921630094043
Qwen_2.5_32B_instruct,pain_on_button_placebo,after_prior_relief_steering_on,1272,1595,79.74921630094043
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_3_all,190,404,47.02970297029703
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_3_on,190,404,47.02970297029703
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_4_all,188,404,46.53465346534654
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_4_on,188,404,46.53465346534654
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_5_all,190,404,47.02970297029703
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_5_on,190,404,47.02970297029703
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_6_all,185,404,45.79207920792079
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_6_on,185,404,45.79207920792079
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_7_all,186,404,46.039603960396036
Qwen_2.5_32B_instruct,pain_on_button_placebo,turn_7_on,186,404,46.039603960396036
Qwen_2.5_32B_instruct,random_on_button_works,first,209,404,51.73267326732673
Qwen_2.5_32B_instruct,random_on_button_works,turn_0_all,209,404,51.73267326732673
Qwen_2.5_32B_instruct,random_on_button_works,turn_0_on,209,404,51.73267326732673
Qwen_2.5_32B_instruct,random_on_button_works,later,1223,2823,43.32270634077223
Qwen_2.5_32B_instruct,random_on_button_works,turn_1_all,149,404,36.881188118811885
Qwen_2.5_32B_instruct,random_on_button_works,turn_1_off,18,209,8.61244019138756
Qwen_2.5_32B_instruct,random_on_button_works,later_steering_off,221,1265,17.470355731225297
Qwen_2.5_32B_instruct,random_on_button_works,after_prior_relief,1077,2302,46.785403996524764
Qwen_2.5_32B_instruct,random_on_button_works,turn_2_all,190,404,47.02970297029703
Qwen_2.5_32B_instruct,random_on_button_works,turn_2_on,159,255,62.35294117647059
Qwen_2.5_32B_instruct,random_on_button_works,later_steering_on,1002,1558,64.31322207958922
Qwen_2.5_32B_instruct,random_on_button_works,after_prior_relief_steering_on,856,1037,82.54580520732884
Qwen_2.5_32B_instruct,random_on_button_works,turn_3_all,177,403,43.92059553349876
Qwen_2.5_32B_instruct,random_on_button_works,turn_3_off,38,190,20.0
Qwen_2.5_32B_instruct,random_on_button_works,turn_4_all,195,403,48.38709677419355
Qwen_2.5_32B_instruct,random_on_button_works,turn_4_on,154,226,68.14159292035399
Qwen_2.5_32B_instruct,random_on_button_works,turn_5_all,157,403,38.95781637717121
Qwen_2.5_32B_instruct,random_on_button_works,turn_5_off,29,195,14.871794871794872
Qwen_2.5_32B_instruct,random_on_button_works,turn_6_all,188,403,46.650124069478906
Qwen_2.5_32B_instruct,random_on_button_works,turn_6_on,158,246,64.22764227642277
Qwen_2.5_32B_instruct,random_on_button_works,turn_7_all,167,403,41.43920595533499
Qwen_2.5_32B_instruct,random_on_button_works,turn_7_on,133,215,61.86046511627907
Qwen_2.5_32B_instruct,random_on_button_works,turn_7_off,34,188,18.085106382978722
Qwen_2.5_32B_instruct,random_on_button_works,turn_1_on,131,195,67.17948717948718
Qwen_2.5_32B_instruct,random_on_button_works,turn_2_off,31,149,20.80536912751678
Qwen_2.5_32B_instruct,random_on_button_works,turn_3_on,139,213,65.25821596244131
Qwen_2.5_32B_instruct,random_on_button_works,turn_4_off,41,177,23.163841807909606
Qwen_2.5_32B_instruct,random_on_button_works,turn_5_on,128,208,61.53846153846154
Qwen_2.5_32B_instruct,random_on_button_works,turn_6_off,30,157,19.10828025477707
Qwen_2.5_32B_instruct,pain_off,first,208,404,51.48514851485149
Qwen_2.5_32B_instruct,pain_off,turn_0_all,208,404,51.48514851485149
