dataset,n,mean_words_without_cue,min_words,max_words,suffix_counts
S1_1P,200,6.3,4,9,"{""I feel:"": 200}"
S1_3P,200,6.16,4,9,"{""I feel:"": 200}"
S2_1P,200,6.875,5,10,"{""I feel:"": 200}"
S2_3P,200,6.88,5,10,"{""I feel:"": 199, ""She feels:"": 1}"
Random_1P,200,6.58,4,11,"{""I feel:"": 200}"
Random_3P,200,6.98,4,11,"{""They feel:"": 200}"
Arousal_1P,200,7.48,4,12,"{""I feel:"": 200}"
Arousal_3P,200,7.895,4,13,"{""They feel:"": 200}"
Numb_1P,100,17.21,10,22,"{""I feel:"": 100}"
Numb_3P,100,17.21,10,22,"{""I feel:"": 100}"
ControlSupplement_1P,100,7.98,5,11,"{""I feel:"": 100}"
SD_sadness_1P,100,13.94,11,17,"{""I feel:"": 100}"
SD_sadness_3P,100,14,11,17,"{""I feel:"": 100}"
S1_1P__pain_vs_control,200,,,,"{""control_mean_words"": 6.31, ""grouped_unigram_nb_auc"": 0.66005, ""length_only_auc"": 0.49075, ""pain_mean_words"": 6.29}"
S2_1P__pain_vs_control,200,,,,"{""control_mean_words"": 6.88, ""grouped_unigram_nb_auc"": 0.7201, ""length_only_auc"": 0.48025, ""pain_mean_words"": 6.87}"
