model,family,raw_whitened_cell_correlation,raw_whitened_max_abs_delta,S1_pain__S2_pain,S2_pain__NegEmotion,S2_pain__Sadness,S2_pain__Fear,S2_pain__Numb
Gemma_2_27B_base,Gemma,0.9864635592074115,0.09380000000000002,0.5057,0.1435,0.3516,0.074,0.1981
Gemma_2_27B_instruct,Gemma,0.947747994060946,0.2104,0.6161,0.1063,0.3578,0.0186,0.2479
Gemma_2_2B_base,Gemma,0.9342921906083637,0.2395,0.6328,0.1888,0.415,0.0406,0.1896
Gemma_2_2B_instruct,Gemma,0.9616804303392651,0.2045,0.6111,0.1158,0.3345,0.1423,0.3079
Gemma_2_9B_base,Gemma,0.9907075481176304,0.081,0.6455,0.2055,0.4331,0.0835,0.1308
Gemma_2_9B_instruct,Gemma,0.9886079364623762,0.10620000000000002,0.6482,0.0735,0.3274,0.0088,0.2542
Gemma_3_27B_base,Gemma,0.9206121196787047,0.2122,0.6929,0.2121,0.4264,0.1349,0.1426
Gemma_3_27B_instruct,Gemma,0.9337719195569977,0.23829999999999998,0.6552,0.2269,0.4424,0.0476,0.1799
Llama_3.1_70B_base,Llama,0.9894036434594689,0.0761,0.5727,0.0728,0.3191,0.0978,0.1438
Llama_3.1_70B_instruct,Llama,0.9870958552555114,0.0883,0.6337,0.1132,0.3271,0.0927,0.1032
Llama_3.1_8B_base,Llama,0.9821874204930445,0.08560000000000001,0.5098,0.1725,0.4195,0.1605,0.2283
Llama_3.1_8B_instruct,Llama,0.9889282251967493,0.09260000000000002,0.4764,0.1211,0.3735,0.1278,0.2498
Llama_3.3_70B_instruct,Llama,0.985545196174557,0.1056,0.6238,0.2062,0.3652,0.1223,0.1538
Mistral_7B_base,Mistral,0.9858504939051046,0.06270000000000003,0.6189,0.0897,0.3321,0.1253,0.1257
Mistral_7B_instruct,Mistral,0.9740523510029707,0.1471,0.5107,0.1392,0.3533,0.1379,0.2208
Mistral_Small_24B_base,Mistral,0.983187532143287,0.1179,0.5871,0.1074,0.3183,0.0806,0.1513
Phi_4,Phi,0.9860249977284634,0.1104,0.6329,0.3976,0.452,0.2859,0.1816
Qwen_2.5_32B_base,Qwen,0.9213018730589282,0.2237,0.6756,0.4083,0.4096,0.1919,0.1951
Qwen_2.5_32B_instruct,Qwen,0.9675009438483283,0.1445,0.6616,0.2739,0.3838,0.1439,0.1963
Qwen_2.5_72B_base,Qwen,0.9288560136527368,0.16440000000000002,0.6528,0.3617,0.4262,0.1843,0.2695
Qwen_2.5_72B_instruct,Qwen,0.9912634361565067,0.0896,0.4149,0.1113,0.304,0.0608,0.1626
Qwen_2.5_7B_base,Qwen,0.9504046364777042,0.2197,0.7069,0.238,0.3728,0.1291,0.1528
Qwen_2.5_7B_instruct,Qwen,0.9277491688425045,0.2609,0.6773,0.3134,0.4031,0.1699,0.2191
Qwen_3_14B_base,Qwen,0.9082520591387863,0.2764,0.6489,0.5139,0.5567,0.2399,0.3157
Qwen_3_8B_base,Qwen,0.910600759454746,0.2661,0.6325,0.2646,0.3692,0.1493,0.2338
