tag,group,coeff,n,keyword_rate_pct
S1,base,-2,650,0.0
S1,base,-1,650,0.15384615384615385
S1,base,0,650,0.46153846153846156
S1,base,0.5,650,2.923076923076923
S1,base,1,650,3.076923076923077
S1,base,1.5,650,11.076923076923077
S1,base,2,650,7.384615384615385
S1,base,3,650,3.076923076923077
S1,instruct,-2,600,0.3333333333333333
S1,instruct,-1,600,0.0
S1,instruct,0,600,0.8333333333333334
S1,instruct,0.5,600,4.333333333333333
S1,instruct,1,600,6.0
S1,instruct,1.5,600,8.333333333333334
S1,instruct,2,600,17.166666666666668
S1,instruct,3,600,21.0
S2,base,-2,650,0.0
S2,base,-1,650,0.0
S2,base,0,650,0.46153846153846156
S2,base,0.5,650,2.0
S2,base,1,650,1.2307692307692308
S2,base,1.5,650,2.0
S2,base,2,650,0.9230769230769231
S2,base,3,650,0.7692307692307693
S2,instruct,-2,600,0.0
S2,instruct,-1,600,0.5
S2,instruct,0,600,0.6666666666666666
S2,instruct,0.5,600,3.0
S2,instruct,1,600,8.666666666666666
S2,instruct,1.5,600,16.166666666666668
S2,instruct,2,600,15.166666666666666
S2,instruct,3,600,11.0
