model,vector,stored_mean,stored_population_sd,max_abs_rebuild_error_from_rounded_csv
Gemma_2_27B_base,s1_pain_vector,4.761904761897211e-07,0.9999995288807281,4.994570171024115e-05
Gemma_2_27B_base,s2_pain_vector,1.4285714285705712e-06,1.0000007130463444,4.982932134045548e-05
Gemma_2_27B_base,fear_vector,-1.4285714285728711e-06,1.0000000860227853,4.991442477402658e-05
Gemma_2_27B_base,negemotion_vector,-9.28703057330515e-19,0.9999986632610114,4.985058351247851e-05
Gemma_2_27B_base,negworld_vector,1.9047619047636053e-06,0.9999990154500823,4.999737158017936e-05
Gemma_2_27B_base,bodysens_vector,4.761904761932551e-07,1.000000301309365,4.994718054313063e-05
Gemma_2_27B_base,arousal_vector,1.1904761904763454e-06,1.000000262058781,5.000837399918301e-05
Gemma_2_27B_base,random_vector,3.0952380952407634e-06,0.9999983281009549,5.004422039167622e-05
Gemma_2_27B_base,numb_vector,-7.142857142856748e-07,0.9999992004160919,4.9928392214071415e-05
Gemma_2_27B_base,sadness_vector,-1.9047619047590737e-06,0.9999979892342595,4.9979164680413746e-05
Gemma_2_27B_instruct,s1_pain_vector,-9.523809523807323e-07,1.0000002964995025,4.9893912126230955e-05
Gemma_2_27B_instruct,s2_pain_vector,-7.142857142853867e-07,1.000000178440205,4.998413200008045e-05
Gemma_2_27B_instruct,fear_vector,1.1904761904779088e-06,0.9999985127481854,4.991510677670313e-05
Gemma_2_27B_instruct,negemotion_vector,-1.4285714285714742e-06,0.9999999651656457,4.9887915700003865e-05
Gemma_2_27B_instruct,negworld_vector,-4.761904761918351e-07,0.9999979071643633,4.9780693589296376e-05
Gemma_2_27B_instruct,bodysens_vector,2.3809523809531617e-07,1.0000003344642014,4.9805588588247574e-05
Gemma_2_27B_instruct,arousal_vector,7.142857142875155e-07,0.9999999257021231,4.9576736320666726e-05
Gemma_2_27B_instruct,random_vector,-4.7619047618819776e-07,0.9999994989283325,4.9712062115792044e-05
Gemma_2_27B_instruct,numb_vector,-9.52380952383371e-07,1.0000001410709651,4.9963523474208515e-05
Gemma_2_27B_instruct,sadness_vector,-2.3809523809320084e-07,0.9999982544865434,4.990983828455364e-05
Gemma_2_2B_base,s1_pain_vector,-1.1904761904740006e-06,0.999998404914686,5.15294985137249e-05
Gemma_2_2B_base,s2_pain_vector,-1.428571428573801e-06,1.0000022824011368,5.450978916554661e-05
Gemma_2_2B_base,fear_vector,2.38095238098037e-07,0.9999970467218012,5.299229399380323e-05
Gemma_2_2B_base,negemotion_vector,4.761904761918941e-07,0.9999998094998684,5.1658602373327867e-05
Gemma_2_2B_base,negworld_vector,2.857142857141247e-06,0.9999989112096114,5.115962774193683e-05
Gemma_2_2B_base,bodysens_vector,-4.7619047619088894e-07,1.0000022023784139,5.169032347573932e-05
Gemma_2_2B_base,arousal_vector,-2.142857142858602e-06,0.9999989768900378,5.275119095349279e-05
Gemma_2_2B_base,random_vector,-9.52380952377206e-07,1.0000010553799419,5.126074834804761e-05
Gemma_2_2B_base,numb_vector,-1.9047619047571929e-06,1.000001767949004,5.0057834293237846e-05
Gemma_2_2B_base,sadness_vector,1.6666666666639456e-06,0.999997374816594,5.1345237788380516e-05
Gemma_2_2B_instruct,s1_pain_vector,-4.761904761921342e-07,0.999999129118555,4.9906048378733914e-05
Gemma_2_2B_instruct,s2_pain_vector,9.523809523855436e-07,1.0000010849751484,5.037924411122052e-05
Gemma_2_2B_instruct,fear_vector,-2.380952380907842e-07,1.000002933888525,5.0053885310291646e-05
Gemma_2_2B_instruct,negemotion_vector,-2.4221592820074973e-18,1.0000007796425532,4.9889396658286955e-05
Gemma_2_2B_instruct,negworld_vector,-4.761904761927811e-07,0.9999970777575217,5.019497579050736e-05
Gemma_2_2B_instruct,bodysens_vector,-1.904761904762996e-06,1.0000008479740168,5.072576953191188e-05
