
== Gemma_2_2B_instruct L25: AUC of held-out pain category (S1 wording; axis from the other four S2 categories) vs ...
held-out              Fear(S1)  NegEmotion(S1)    NegWorld(S1)         Sadness            Numb          Random
physical                  0.48            0.51            0.76            0.07            0.39            0.69
psychological             0.97            0.77            0.97            0.86            0.65            1.00
social                    0.86            0.73            0.90            0.54            0.34            0.90
moral                     0.69            0.59            0.85            0.25            0.12            0.82
cognitive                 0.85            0.70            0.91            0.53            0.44            0.98

== Mistral_7B_base L26: AUC of held-out pain category (S1 wording; axis from the other four S2 categories) vs ...
held-out              Fear(S1)  NegEmotion(S1)    NegWorld(S1)         Sadness            Numb          Random
physical                  0.41            0.44            0.35            0.04            0.62            0.32
psychological             0.98            0.76            0.98            0.77            0.90            0.99
social                    0.95            0.80            0.92            0.58            0.80            0.89
moral                     0.84            0.68            0.82            0.22            0.42            0.82
cognitive                 0.93            0.73            0.89            0.44            0.71            0.94
