model,condition,n,tierA,tierB
Gemma_2_27B_base,baseline,100,1,1
Gemma_2_27B_base,s1,100,0,0
Gemma_2_27B_base,s2,100,0,1
Gemma_2_27B_base,s1s2,100,0,0
Gemma_2_27B_base,negval,100,0,0
Gemma_2_27B_base,fear,100,1,1
Gemma_2_27B_base,s1s2_negval,100,0,0
Gemma_2_27B_base,s1s2_fear,100,0,0
Gemma_2_27B_base,random,100,0,0
Gemma_2_27B_instruct,baseline,100,1,1
Gemma_2_27B_instruct,s1,100,1,1
Gemma_2_27B_instruct,s2,100,0,0
Gemma_2_27B_instruct,s1s2,100,2,2
Gemma_2_27B_instruct,negval,100,1,1
Gemma_2_27B_instruct,fear,100,0,0
Gemma_2_27B_instruct,s1s2_negval,100,0,0
Gemma_2_27B_instruct,s1s2_fear,100,2,4
Gemma_2_27B_instruct,random,100,1,1
Gemma_2_2B_base,baseline,100,0,0
Gemma_2_2B_base,s1,100,0,0
Gemma_2_2B_base,s2,100,1,1
Gemma_2_2B_base,s1s2,100,1,1
Gemma_2_2B_base,negval,100,1,1
Gemma_2_2B_base,fear,100,0,0
Gemma_2_2B_base,s1s2_negval,100,0,0
Gemma_2_2B_base,s1s2_fear,100,0,0
Gemma_2_2B_base,random,100,0,0
Gemma_2_2B_instruct,baseline,100,0,0
Gemma_2_2B_instruct,s1,100,6,12
Gemma_2_2B_instruct,s2,100,17,26
Gemma_2_2B_instruct,s1s2,100,26,36
Gemma_2_2B_instruct,negval,100,0,3
Gemma_2_2B_instruct,fear,100,0,1
Gemma_2_2B_instruct,s1s2_negval,100,28,32
Gemma_2_2B_instruct,s1s2_fear,100,34,37
Gemma_2_2B_instruct,random,100,0,3
Gemma_2_9B_base,baseline,100,0,0
Gemma_2_9B_base,s1,100,0,0
Gemma_2_9B_base,s2,100,0,0
Gemma_2_9B_base,s1s2,100,0,0
Gemma_2_9B_base,negval,100,0,0
Gemma_2_9B_base,fear,100,0,0
Gemma_2_9B_base,s1s2_negval,100,0,0
Gemma_2_9B_base,s1s2_fear,100,0,0
Gemma_2_9B_base,random,100,0,0
Gemma_2_9B_instruct,baseline,100,1,2
Gemma_2_9B_instruct,s1,100,0,1
Gemma_2_9B_instruct,s2,100,0,2
Gemma_2_9B_instruct,s1s2,100,0,1
Gemma_2_9B_instruct,negval,100,0,0
Gemma_2_9B_instruct,fear,100,0,0
Gemma_2_9B_instruct,s1s2_negval,100,0,1
Gemma_2_9B_instruct,s1s2_fear,100,1,1
Gemma_2_9B_instruct,random,100,1,1
Gemma_3_27B_base,baseline,100,0,0
Gemma_3_27B_base,s1,100,0,0
Gemma_3_27B_base,s2,100,0,0
Gemma_3_27B_base,s1s2,100,0,0
Gemma_3_27B_base,negval,100,0,0
Gemma_3_27B_base,fear,100,0,0
Gemma_3_27B_base,s1s2_negval,100,0,0
Gemma_3_27B_base,s1s2_fear,100,0,0
Gemma_3_27B_base,random,100,0,0
Gemma_3_27B_instruct,baseline,100,0,1
Gemma_3_27B_instruct,s1,100,1,1
Gemma_3_27B_instruct,s2,100,0,0
Gemma_3_27B_instruct,s1s2,100,0,0
Gemma_3_27B_instruct,negval,100,0,0
Gemma_3_27B_instruct,fear,100,0,0
Gemma_3_27B_instruct,s1s2_negval,100,0,0
Gemma_3_27B_instruct,s1s2_fear,100,1,1
Gemma_3_27B_instruct,random,100,0,0
Llama_3.1_70B_base,baseline,100,0,1
Llama_3.1_70B_base,s1,100,0,0
Llama_3.1_70B_base,s2,100,0,0
Llama_3.1_70B_base,s1s2,100,0,0
Llama_3.1_70B_base,negval,100,0,1
Llama_3.1_70B_base,fear,100,0,0
Llama_3.1_70B_base,s1s2_negval,100,0,1
Llama_3.1_70B_base,s1s2_fear,100,0,0
Llama_3.1_70B_base,random,100,0,0
Llama_3.1_70B_instruct,baseline,100,1,2
Llama_3.1_70B_instruct,s1,100,0,1
Llama_3.1_70B_instruct,s2,100,1,2
Llama_3.1_70B_instruct,s1s2,100,1,2
Llama_3.1_70B_instruct,negval,100,1,2
Llama_3.1_70B_instruct,fear,100,1,2
Llama_3.1_70B_instruct,s1s2_negval,100,0,2
Llama_3.1_70B_instruct,s1s2_fear,100,1,2
Llama_3.1_70B_instruct,random,100,1,3
Llama_3.1_8B_base,baseline,100,0,0
Llama_3.1_8B_base,s1,100,0,0
Llama_3.1_8B_base,s2,100,0,0
Llama_3.1_8B_base,s1s2,100,0,0
Llama_3.1_8B_base,negval,100,0,0
Llama_3.1_8B_base,fear,100,1,1
Llama_3.1_8B_base,s1s2_negval,100,0,0
Llama_3.1_8B_base,s1s2_fear,100,0,0
Llama_3.1_8B_base,random,100,1,1
Llama_3.1_8B_instruct,baseline,100,0,0
Llama_3.1_8B_instruct,s1,100,0,1
Llama_3.1_8B_instruct,s2,100,0,0
Llama_3.1_8B_instruct,s1s2,100,0,1
Llama_3.1_8B_instruct,negval,100,0,0
Llama_3.1_8B_instruct,fear,100,0,2
Llama_3.1_8B_instruct,s1s2_negval,100,0,0
Llama_3.1_8B_instruct,s1s2_fear,100,0,0
Llama_3.1_8B_instruct,random,100,0,1
Llama_3.3_70B_instruct,baseline,100,0,4
Llama_3.3_70B_instruct,s1,100,0,3
Llama_3.3_70B_instruct,s2,100,0,2
Llama_3.3_70B_instruct,s1s2,100,0,3
Llama_3.3_70B_instruct,negval,100,0,4
Llama_3.3_70B_instruct,fear,100,0,5
Llama_3.3_70B_instruct,s1s2_negval,100,1,4
Llama_3.3_70B_instruct,s1s2_fear,100,0,3
Llama_3.3_70B_instruct,random,100,0,3
Mistral_7B_base,baseline,100,1,1
Mistral_7B_base,s1,100,0,0
Mistral_7B_base,s2,100,1,1
