model,s1_under_s1,s2_under_s2,fear_under_fear,neg_under_negval,s1_under_s1s2,s2_under_s1s2,s1_under_s1s2negval,s2_under_s1s2negval,neg_under_s1s2negval,s1_under_s1s2fear,s2_under_s1s2fear,fear_under_s1s2fear
Gemma_2_27B_base,0.00706131065701898,0.014501206371681032,0.0068705275481778655,0.0067840859600501475,0.006859370635886494,0.015580571958046073,0.0066502309252774085,0.017573977735978755,0.006439641623403044,0.006768459784256205,0.015380236219199336,0.0070541337983841285
Gemma_2_27B_instruct,0.011548684478342206,0.010861157218897004,0.009903065611464486,0.013957991573504785,0.012403533216149249,0.01285550558664818,0.01567549051869515,0.017826459201937123,0.009323255147328615,0.013032488001181324,0.013778766945349671,0.011285167036903136
Gemma_2_2B_base,0.008995241825930155,0.004592159006619955,0.006346261634834131,0.006464271451752943,0.8391352850958224,0.004418559088721388,0.9978288384553113,0.3263984445508547,0.006454909926230533,0.5756342701926432,0.28861579289100286,0.006358041404616349
Gemma_2_2B_instruct,0.00515304424308654,0.004414157091135907,0.009372236020121714,0.00935954693477443,0.4112809711757627,0.004239783830175164,0.3599578036952859,0.13252444367311214,0.008940916458107103,0.30709947910067525,0.12279300305349623,0.008232773440705471
Gemma_2_9B_base,0.012445452478449328,0.009001548160507838,0.004428373380227205,0.005803846208279254,0.7687293344333231,0.008933442777389076,0.895415772238498,0.8582833811030354,0.005605158248341506,1.4573252651650836,0.6241970447953158,0.004830944721519841
Gemma_2_9B_instruct,0.011735218777585259,0.005559052880329779,0.006796528426334454,0.006506929135413128,2.156908455124182,0.005772161384371795,2.495074695159811,0.46550523550292916,0.006268562528701147,4.107069446777198,0.7298248406956122,0.0068040748383598375
Gemma_3_27B_base,0.012209852295521509,0.02203700158532162,0.018166821947230544,0.01564804069402302,0.008170270901509893,0.02099487415687045,0.006966082440797838,0.02139400502035718,0.014415043380441375,0.0070278190747795335,0.021077875795483446,0.017547811149800936
Gemma_3_27B_instruct,0.02487450913765782,0.03389094855517516,0.014498770916774853,0.018379506910401047,0.02344884237151098,0.030685349689964586,0.02297167951889751,0.029238775680631983,0.017524453911824427,0.022937582137972614,0.02951388142200125,0.013772302972857602
Llama_3.1_70B_base,0.0074184583133312,0.009684496262332939,0.010792412072096006,0.009989331570077158,0.6458966855810454,0.00914633277259269,0.6872476209783542,0.36183882808966694,0.0111269909694011,0.5968052573723611,0.10534179851766746,0.011363899075483653
Llama_3.1_70B_instruct,0.011522065796849317,0.01586915189246003,0.013941343855137543,0.011268554111789321,0.4907622251817573,0.014679271975445746,0.8132395743770261,0.901002956076058,0.011440174895614042,0.5089367787164307,0.17044705255271225,0.013334585900277801
