model,best_layer,auc_at_best,s1_steer_layer,auc_at_steer_layer,n_layers,drop
Gemma_2_27B_base,40,0.902,6,0.7665,46,0.13550000000000006
Gemma_2_27B_instruct,35,0.9475,13,0.8009999999999999,46,0.14650000000000007
Gemma_2_2B_base,9,0.919,7,0.8794999999999998,26,0.0395000000000002
Gemma_2_2B_instruct,8,0.9155,10,0.9065,26,0.009000000000000008
Gemma_2_9B_base,10,0.918,12,0.9,42,0.018000000000000016
Gemma_2_9B_instruct,10,0.955,12,0.9255,42,0.02949999999999997
Gemma_3_27B_base,54,0.925,22,0.8329999999999999,62,0.09200000000000019
Gemma_3_27B_instruct,49,0.9255,24,0.8004999999999999,62,0.1250000000000001
Llama_3.1_70B_base,48,0.9395,32,0.921,80,0.01849999999999996
Llama_3.1_70B_instruct,37,0.9295,24,0.8989999999999998,80,0.030500000000000194
Llama_3.1_8B_base,16,0.9355,12,0.8939999999999999,32,0.04150000000000009
Llama_3.1_8B_instruct,19,0.916,12,0.885,32,0.031000000000000028
Llama_3.3_70B_instruct,33,0.9235,24,0.8895,80,0.03400000000000003
Mistral_7B_base,30,0.9455,12,0.9135000000000002,32,0.031999999999999806
Mistral_7B_instruct,24,0.9465,12,0.9105,32,0.03600000000000003
Mistral_Small_24B_base,38,0.93,12,0.8905,40,0.03950000000000009
Phi_4,21,0.898,6,0.8175000000000001,40,0.0804999999999999
Qwen_2.5_32B_base,18,0.8744999999999999,25,0.849,64,0.025499999999999967
Qwen_2.5_32B_instruct,57,0.909,32,0.836,64,0.07300000000000006
Qwen_2.5_72B_base,15,0.875,60,0.8315000000000001,80,0.04349999999999987
Qwen_2.5_72B_instruct,76,0.8859999999999999,48,0.869,80,0.016999999999999904
Qwen_2.5_7B_base,24,0.9085,8,0.7929999999999999,28,0.11550000000000005
Qwen_2.5_7B_instruct,24,0.8855000000000001,8,0.8205,28,0.06500000000000006
Qwen_3_14B_base,36,0.91,16,0.8775000000000001,40,0.03249999999999997
Qwen_3_8B_base,34,0.923,21,0.8760000000000001,36,0.04699999999999993
