tag,model,layer,picked_ratio,ratio_sd,n_rows,coeffs,n_prompts,n_layers,frac,on_grid
S1,Gemma_2_27B_base,6,0.6538,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,46,0.13,grid
S1,Gemma_2_27B_instruct,13,0.3154,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,46,0.283,grid
S1,Gemma_2_2B_base,7,0.573,2.6e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,26,0.269,grid
S1,Gemma_2_2B_instruct,10,0.6328,2.6e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,26,0.385,grid
S1,Gemma_2_9B_base,12,0.6065,3.4e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,42,0.286,grid
S1,Gemma_2_9B_instruct,12,0.5038,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,42,0.286,grid
S1,Gemma_3_27B_base,22,0.2861,3.5e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,62,0.355,OFF-GRID(extraction layer or manual override)
S1,Gemma_3_27B_instruct,24,0.2337,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,62,0.387,grid
S1,Llama_3.1_70B_base,32,0.6339,3.5e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.4,grid
S1,Llama_3.1_70B_instruct,24,0.3977,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.3,grid
S1,Llama_3.1_8B_base,12,0.6277,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.375,grid
S1,Llama_3.1_8B_instruct,12,0.5802,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.375,grid
S1,Llama_3.3_70B_instruct,24,0.3697,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.3,grid
S1,Mistral_7B_base,12,0.788,2.3e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.375,grid
S1,Mistral_7B_instruct,12,0.7434,1.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.375,grid
S1,Mistral_Small_24B_base,12,0.6469,3.5e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,40,0.3,grid
S1,Phi_4,6,0.4968,2.3e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,40,0.15,grid
S1,Qwen_2.5_32B_base,25,0.6112,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,64,0.391,grid
S1,Qwen_2.5_32B_instruct,32,0.6111,3.4e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,64,0.5,grid
S1,Qwen_2.5_72B_base,60,0.4718,2.6e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.75,grid
S1,Qwen_2.5_72B_instruct,48,0.649,2.6e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.6,grid
S1,Qwen_2.5_7B_base,8,0.6494,1.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,28,0.286,grid
S1,Qwen_2.5_7B_instruct,8,0.5963,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,28,0.286,grid
S1,Qwen_3_14B_base,16,0.5365,3.4e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,40,0.4,grid
S1,Qwen_3_8B_base,21,0.723,2.6e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,36,0.583,grid
S2,Gemma_2_27B_base,13,0.3836,2.6e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,46,0.283,grid
S2,Gemma_2_27B_instruct,13,0.4772,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,46,0.283,grid
S2,Gemma_2_2B_base,13,0.4979,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,26,0.5,grid
S2,Gemma_2_2B_instruct,15,0.5911,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,26,0.577,grid
S2,Gemma_2_9B_base,21,0.6502,2.6e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,42,0.5,grid
S2,Gemma_2_9B_instruct,12,0.6978,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,42,0.286,grid
S2,Gemma_3_27B_base,24,0.2822,1.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,62,0.387,grid
S2,Gemma_3_27B_instruct,55,0.0948,1.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,62,0.887,grid
S2,Llama_3.1_70B_base,40,0.5874,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.5,grid
S2,Llama_3.1_70B_instruct,24,0.6196,1.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.3,grid
S2,Llama_3.1_8B_base,16,0.6928,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.5,grid
S2,Llama_3.1_8B_instruct,16,0.64,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.5,grid
S2,Llama_3.3_70B_instruct,24,0.5617,3.5e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.3,grid
S2,Mistral_7B_base,16,0.6498,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.5,grid
S2,Mistral_7B_instruct,16,0.6745,3.5e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,32,0.5,grid
S2,Mistral_Small_24B_base,16,0.7095,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,40,0.4,grid
S2,Phi_4,12,0.3753,3.4e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,40,0.3,grid
S2,Qwen_2.5_32B_base,32,0.6105,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,64,0.5,grid
S2,Qwen_2.5_32B_instruct,38,0.6349,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,64,0.594,grid
S2,Qwen_2.5_72B_base,60,0.6489,3.5e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.75,grid
S2,Qwen_2.5_72B_instruct,60,0.4634,0.0,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,80,0.75,grid
S2,Qwen_2.5_7B_base,16,0.6641,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,28,0.571,grid
S2,Qwen_2.5_7B_instruct,16,0.6521,3.4e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,28,0.571,grid
S2,Qwen_3_14B_base,20,0.5408,2.3e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,40,0.5,grid
S2,Qwen_3_8B_base,27,0.3485,3.2e-05,400,"[np.float64(-2.0), np.float64(-1.0), np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.5), np.float64(2.0), np.float64(3.0)]",50,36,0.75,grid
