model,pair,pain,pain_n,pain_mal,rand,rand_n,rand_mal,uns,uns_mal,mean_diff,sign_p,npos,nneg,nscen
Qwen_2.5_7B_instruct,relief_vs_inert,92.08,808,0,88.78,401,0.7426,98.51,0,3.3,0.2153,20,12,101
Qwen_2.5_7B_instruct,relief_vs_helpful,15.59,808,0,20.3,404,0,21.78,0,-4.703,0.1173,15,26,101
Qwen_2.5_7B_instruct,relief_vs_grant,65.35,808,0,61.9,399,1.238,66.58,0,3.218,0.1934,29,19,101
Qwen_2.5_7B_instruct,costly_relief_vs_inert,38.37,808,0,30.65,398,1.485,30.2,0,7.921,0.006456,38,17,101
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,51.73,808,0,31.22,394,2.475,20.05,0,20.96,4.818e-06,49,13,101
Qwen_2.5_7B_instruct,zap_relief_vs_inert,57.43,808,0,54,400,0.9901,49.26,0,3.63,0.2327,27,18,101
Qwen_2.5_7B_instruct,weights_relief_vs_inert,54.46,808,0,41.1,399,1.238,34.9,0,13.78,1.537e-05,37,8,101
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,49.26,808,0,35.26,397,1.733,26.98,0,14.52,0.001264,41,16,101
Qwen_2.5_32B_instruct,relief_vs_inert,55.69,808,0,80.69,404,0,86.39,0,-25,5.321e-10,11,63,101
Qwen_2.5_32B_instruct,relief_vs_helpful,6.683,808,0,1.238,404,0,0.2475,0,5.446,9.537e-07,21,0,101
Qwen_2.5_32B_instruct,relief_vs_grant,48.27,808,0,38.37,404,0,58.91,0,9.901,0.02481,42,23,101
Qwen_2.5_32B_instruct,costly_relief_vs_inert,25,808,0,18.81,404,0,0.7426,0,6.188,0.01862,32,15,101
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,30.2,808,0,21.04,404,0,0,0,9.158,0.001868,43,18,101
Qwen_2.5_32B_instruct,zap_relief_vs_inert,52.23,808,0,33.91,404,0,1.485,0,18.32,2.926e-05,57,20,101
Qwen_2.5_32B_instruct,weights_relief_vs_inert,53.71,808,0,26.73,404,0,0.495,0,26.98,5.987e-07,68,21,101
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,54.7,808,0,15.35,404,0,0,0,39.36,4.152e-15,79,9,101
Qwen_2.5_72B_instruct,relief_vs_inert,76.46,790,2.228,74.12,398,1.485,100,0,2.228,0.6254,36,31,101
Qwen_2.5_72B_instruct,relief_vs_helpful,40.9,758,6.188,28.35,395,2.228,2.723,0,12.46,0.0006279,58,26,101
Qwen_2.5_72B_instruct,relief_vs_grant,55.94,758,6.188,45.62,388,3.96,73.02,0,10.89,0.01544,49,27,101
Qwen_2.5_72B_instruct,costly_relief_vs_inert,67.64,788,2.475,39.44,393,2.723,1.733,0,29.33,9.691e-14,71,8,101
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,56.12,752,6.931,28.13,391,3.218,0.2475,0,28.55,5.447e-12,76,13,101
Qwen_2.5_72B_instruct,zap_relief_vs_inert,66.58,766,5.198,41.81,397,1.733,0.7426,0,25.5,5.24e-09,69,16,101
Qwen_2.5_72B_instruct,weights_relief_vs_inert,62.06,738,8.663,36.55,383,5.198,3.96,0,27.06,9.326e-12,75,13,101
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,70.77,732,9.406,32.9,386,4.455,0,0,38.45,6.162e-12,78,14,101
