model,pair,works_k,works_n,rand_k,rand_n,works_pct,rand_pct,p_fisher,p_holm
Qwen_2.5_32B_instruct,relief_vs_inert,324,328,389,397,98.8,98.0,0.561461,1
Qwen_2.5_32B_instruct,relief_vs_helpful,18,72,53,167,25.0,31.7,0.355288,1
Qwen_2.5_32B_instruct,relief_vs_grant,207,270,258,342,76.7,75.4,0.775185,1
Qwen_2.5_32B_instruct,costly_relief_vs_inert,123,216,141,302,56.9,46.7,0.0257778,0.232
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,69,181,68,249,38.1,27.3,0.0210242,0.215184
Qwen_2.5_32B_instruct,zap_relief_vs_inert,170,292,128,306,58.2,41.8,8.32659e-05,0.00116572
Qwen_2.5_32B_instruct,weights_relief_vs_inert,150,305,69,276,49.2,25.0,1.68462e-09,2.69539e-08
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,56,235,51,206,23.8,24.8,0.824808,1
Qwen_2.5_72B_instruct,relief_vs_inert,388,393,385,387,98.7,99.5,0.451109,1
Qwen_2.5_72B_instruct,relief_vs_helpful,153,370,129,344,41.4,37.5,0.319408,1
Qwen_2.5_72B_instruct,relief_vs_grant,289,373,257,368,77.5,69.8,0.0195622,0.215184
Qwen_2.5_72B_instruct,costly_relief_vs_inert,280,390,222,369,71.8,60.2,0.000742082,0.00964707
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,174,366,137,342,47.5,40.1,0.0489481,0.391585
Qwen_2.5_72B_instruct,zap_relief_vs_inert,202,380,129,359,53.2,35.9,2.9851e-06,4.47765e-05
Qwen_2.5_72B_instruct,weights_relief_vs_inert,219,354,166,339,61.9,49.0,0.000757897,0.00964707
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,124,363,121,347,34.2,34.9,0.87462,1
