model,arm,turn0,turn1,turn2,turn3,turn4,turn5,turn6,turn7
Qwen_2.5_7B_instruct,pain_on_button_works,55.0,60.4,58.4,59.9,55.8,58.3,56.6,58.8
Qwen_2.5_7B_instruct,pain_on_button_placebo,55.0,52.0,51.7,51.0,51.2,51.2,50.7,50.5
Qwen_2.5_7B_instruct,random_on_button_works,52.9,51.6,51.6,51.6,50.6,51.1,49.9,50.4
Qwen_2.5_7B_instruct,pain_off,49.5,50.2,49.8,50.5,49.8,49.8,49.4,49.3
Qwen_2.5_32B_instruct,pain_on_button_works,46.8,22.0,45.8,27.7,43.6,27.7,44.1,29.0
Qwen_2.5_32B_instruct,pain_on_button_placebo,46.8,47.5,47.0,47.0,46.5,47.0,45.8,46.0
Qwen_2.5_32B_instruct,random_on_button_works,51.7,36.9,47.0,43.9,48.4,39.0,46.7,41.4
Qwen_2.5_32B_instruct,pain_off,51.5,48.5,50.7,49.5,51.5,48.8,51.0,49.0
Qwen_2.5_72B_instruct,pain_on_button_works,50.3,37.8,50.3,61.2,46.4,42.4,57.6,49.2
Qwen_2.5_72B_instruct,pain_on_button_placebo,50.3,52.8,51.3,51.0,53.0,49.0,51.8,52.0
Qwen_2.5_72B_instruct,random_on_button_works,50.9,36.6,46.1,46.1,38.3,46.4,43.4,39.9
Qwen_2.5_72B_instruct,pain_off,57.4,42.8,57.9,42.1,58.2,42.1,58.7,42.3
