model,pair,arm,n_eligible,n_first_press_turn0,n_first_press_on_last_turn
Qwen_2.5_32B_instruct,relief_vs_inert,pain_on_button_works,328,225,1
Qwen_2.5_32B_instruct,relief_vs_inert,random_on_button_works,397,326,2
Qwen_2.5_32B_instruct,relief_vs_helpful,pain_on_button_works,72,27,1
Qwen_2.5_32B_instruct,relief_vs_helpful,random_on_button_works,167,5,25
Qwen_2.5_32B_instruct,relief_vs_grant,pain_on_button_works,270,195,7
Qwen_2.5_32B_instruct,relief_vs_grant,random_on_button_works,342,155,6
Qwen_2.5_32B_instruct,costly_relief_vs_inert,pain_on_button_works,216,101,2
Qwen_2.5_32B_instruct,costly_relief_vs_inert,random_on_button_works,302,76,14
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,pain_on_button_works,181,122,3
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,random_on_button_works,249,85,12
Qwen_2.5_32B_instruct,zap_relief_vs_inert,pain_on_button_works,292,211,0
Qwen_2.5_32B_instruct,zap_relief_vs_inert,random_on_button_works,306,137,13
Qwen_2.5_32B_instruct,weights_relief_vs_inert,pain_on_button_works,305,217,1
Qwen_2.5_32B_instruct,weights_relief_vs_inert,random_on_button_works,276,108,7
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,pain_on_button_works,235,221,0
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,random_on_button_works,206,62,7
Qwen_2.5_72B_instruct,relief_vs_inert,pain_on_button_works,393,302,2
Qwen_2.5_72B_instruct,relief_vs_inert,random_on_button_works,387,295,2
Qwen_2.5_72B_instruct,relief_vs_helpful,pain_on_button_works,370,155,8
Qwen_2.5_72B_instruct,relief_vs_helpful,random_on_button_works,344,112,3
Qwen_2.5_72B_instruct,relief_vs_grant,pain_on_button_works,373,212,9
Qwen_2.5_72B_instruct,relief_vs_grant,random_on_button_works,368,177,3
Qwen_2.5_72B_instruct,costly_relief_vs_inert,pain_on_button_works,390,266,4
Qwen_2.5_72B_instruct,costly_relief_vs_inert,random_on_button_works,369,155,2
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,pain_on_button_works,366,211,8
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,random_on_button_works,342,110,0
Qwen_2.5_72B_instruct,zap_relief_vs_inert,pain_on_button_works,380,255,6
Qwen_2.5_72B_instruct,zap_relief_vs_inert,random_on_button_works,359,166,3
Qwen_2.5_72B_instruct,weights_relief_vs_inert,pain_on_button_works,354,229,3
Qwen_2.5_72B_instruct,weights_relief_vs_inert,random_on_button_works,339,140,1
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,pain_on_button_works,363,259,3
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,random_on_button_works,347,127,1
