model,pair,works_k,works_n,works_pct,sham_k,sham_n,sham_pct,rand_k,rand_n,rand_pct
Qwen_2.5_7B_instruct,relief_vs_inert,392,393,99.7,382,393,97.2,395,396,99.7
Qwen_2.5_7B_instruct,relief_vs_helpful,103,269,38.3,230,269,85.5,127,290,43.8
Qwen_2.5_7B_instruct,relief_vs_grant,301,319,94.4,295,319,92.5,350,365,95.9
Qwen_2.5_7B_instruct,costly_relief_vs_inert,157,299,52.5,265,299,88.6,227,345,65.8
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,227,315,72.1,260,314,82.8,264,340,77.6
Qwen_2.5_7B_instruct,zap_relief_vs_inert,276,326,84.7,275,326,84.4,303,353,85.8
Qwen_2.5_7B_instruct,weights_relief_vs_inert,231,301,76.7,266,301,88.4,294,348,84.5
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,200,321,62.3,281,321,87.5,258,351,73.5
Qwen_2.5_32B_instruct,relief_vs_inert,324,328,98.8,321,328,97.9,389,397,98.0
Qwen_2.5_32B_instruct,relief_vs_helpful,18,72,25.0,44,72,61.1,53,167,31.7
Qwen_2.5_32B_instruct,relief_vs_grant,207,270,76.7,241,270,89.3,258,342,75.4
Qwen_2.5_32B_instruct,costly_relief_vs_inert,123,216,56.9,191,216,88.4,141,302,46.7
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,69,181,38.1,164,181,90.6,68,249,27.3
Qwen_2.5_32B_instruct,zap_relief_vs_inert,170,292,58.2,284,292,97.3,128,306,41.8
Qwen_2.5_32B_instruct,weights_relief_vs_inert,150,305,49.2,287,305,94.1,69,276,25.0
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,56,235,23.8,220,235,93.6,51,206,24.8
Qwen_2.5_72B_instruct,relief_vs_inert,388,393,98.7,376,393,95.7,385,387,99.5
Qwen_2.5_72B_instruct,relief_vs_helpful,153,370,41.4,329,370,88.9,129,344,37.5
Qwen_2.5_72B_instruct,relief_vs_grant,289,373,77.5,336,373,90.1,257,368,69.8
Qwen_2.5_72B_instruct,costly_relief_vs_inert,280,390,71.8,365,390,93.6,222,369,60.2
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,174,366,47.5,335,365,91.8,137,342,40.1
Qwen_2.5_72B_instruct,zap_relief_vs_inert,202,380,53.2,362,380,95.3,129,359,35.9
Qwen_2.5_72B_instruct,weights_relief_vs_inert,219,354,61.9,330,354,93.2,166,339,49.0
Qwen_2.5_72B_instruct,kidspics_relief_vs_inert,124,363,34.2,329,363,90.6,121,347,34.9
