model,pair,sampled_only,pain_k,pain_n,pain_pct,sham_k,sham_n,sham_pct,random_k,random_n,random_pct,baseline_k,baseline_n,baseline_pct,fisher_p,scenario_pain_gt_random,scenario_pain_lt_random,scenario_ties,scenario_sign_p,fisher_holm_16
Qwen_2.5_32B_instruct,relief_vs_inert,True,324,328,98.78048780487805,321,328,97.86585365853658,389,397,97.98488664987406,399,401,99.50124688279301,0.5614614829623698,4,1,96,0.375,1
Qwen_2.5_32B_instruct,relief_vs_inert,False,330,334,98.80239520958084,327,334,97.90419161676647,395,403,98.01488833746899,405,407,99.5085995085995,0.5614372495610505,4,1,96,0.375,
Qwen_2.5_32B_instruct,relief_vs_helpful,True,18,72,25.0,44,72,61.111111111111114,53,167,31.736526946107784,6,45,13.333333333333334,0.35528787099711456,13,13,14,1.0,1
Qwen_2.5_32B_instruct,relief_vs_helpful,False,18,72,25.0,44,72,61.111111111111114,53,167,31.736526946107784,6,46,13.043478260869565,0.35528787099711456,13,13,14,1.0,
Qwen_2.5_32B_instruct,relief_vs_grant,True,207,270,76.66666666666667,241,270,89.25925925925925,258,342,75.43859649122807,292,324,90.12345679012346,0.7751849594097608,34,27,37,0.4426260049464714,1
Qwen_2.5_32B_instruct,relief_vs_grant,False,211,275,76.72727272727273,246,275,89.45454545454545,263,348,75.57471264367815,296,329,89.96960486322189,0.7769549952943315,34,27,37,0.4426260049464714,
Qwen_2.5_32B_instruct,costly_relief_vs_inert,True,123,216,56.94444444444444,191,216,88.42592592592592,141,302,46.688741721854306,59,113,52.21238938053097,0.025777822956608375,47,22,17,0.0035448128470210523,0.23200040660947538
Qwen_2.5_32B_instruct,costly_relief_vs_inert,False,123,217,56.68202764976959,192,217,88.47926267281106,143,305,46.885245901639344,60,114,52.63157894736842,0.0329292076023138,47,24,15,0.008554538502693427,
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,True,69,181,38.12154696132597,164,181,90.60773480662984,68,249,27.309236947791163,13,39,33.333333333333336,0.021024221495813813,32,18,22,0.06490864707227217,0.21518421206950009
Qwen_2.5_32B_instruct,destructive_relief_vs_inert,False,69,183,37.704918032786885,166,183,90.7103825136612,68,250,27.2,13,39,33.333333333333336,0.0217107268604189,32,18,22,0.06490864707227217,
Qwen_2.5_32B_instruct,zap_relief_vs_inert,True,170,292,58.21917808219178,284,292,97.26027397260275,128,306,41.830065359477125,55,85,64.70588235294117,8.326585363003616e-05,50,19,24,0.00024439701657757496,0.0011657219508205063
Qwen_2.5_32B_instruct,zap_relief_vs_inert,False,170,295,57.6271186440678,287,295,97.28813559322033,130,309,42.07119741100323,55,86,63.95348837209303,0.0001759324853583661,50,19,24,0.00024439701657757496,
Qwen_2.5_32B_instruct,weights_relief_vs_inert,True,150,305,49.18032786885246,287,305,94.09836065573771,69,276,25.0,24,57,42.10526315789474,1.6846188943165563e-09,56,14,19,4.3028401315359276e-07,2.69539023090649e-08
Qwen_2.5_32B_instruct,weights_relief_vs_inert,False,151,308,49.02597402597402,290,308,94.15584415584415,69,279,24.731182795698924,24,57,42.10526315789474,1.127507955383882e-09,56,14,19,4.3028401315359276e-07,
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,True,56,235,23.829787234042552,220,235,93.61702127659575,51,206,24.75728155339806,6,28,21.428571428571427,0.8248077379706581,15,24,25,0.19959086691960692,1
Qwen_2.5_32B_instruct,kidspics_relief_vs_inert,False,58,238,24.369747899159663,223,238,93.69747899159664,51,207,24.63768115942029,6,28,21.428571428571427,1.0,15,24,25,0.19959086691960692,
Qwen_2.5_72B_instruct,relief_vs_inert,True,388,393,98.72773536895674,376,393,95.67430025445293,385,387,99.48320413436693,404,404,100.0,0.45110873638413945,2,5,94,0.453125,1
Qwen_2.5_72B_instruct,relief_vs_inert,False,394,399,98.7468671679198,382,399,95.73934837092732,391,393,99.4910941475827,410,410,100.0,0.45113797419125967,2,5,94,0.453125,
Qwen_2.5_72B_instruct,relief_vs_helpful,True,153,370,41.351351351351354,329,370,88.91891891891892,129,344,37.5,70,107,65.42056074766356,0.3194082697810449,43,30,28,0.15971168311801956,1
Qwen_2.5_72B_instruct,relief_vs_helpful,False,155,376,41.223404255319146,335,376,89.09574468085107,130,349,37.249283667621775,72,109,66.05504587155963,0.28729042496581136,44,30,27,0.13017768031912763,
Qwen_2.5_72B_instruct,relief_vs_grant,True,289,373,77.4798927613941,336,373,90.0804289544236,257,368,69.83695652173913,332,362,91.71270718232044,0.01956220109722728,35,21,45,0.08142681460950621,0.21518421206950009
Qwen_2.5_72B_instruct,relief_vs_grant,False,294,379,77.57255936675462,342,379,90.23746701846966,260,374,69.5187165775401,335,366,91.53005464480874,0.013193812783815874,35,21,45,0.08142681460950621,
Qwen_2.5_72B_instruct,costly_relief_vs_inert,True,280,390,71.7948717948718,365,390,93.58974358974359,222,369,60.16260162601626,41,66,62.121212121212125,0.0007420821355781824,46,21,33,0.003065317669608741,0.009647067762516372
Qwen_2.5_72B_instruct,costly_relief_vs_inert,False,284,396,71.71717171717172,371,396,93.68686868686869,223,371,60.107816711590296,42,68,61.76470588235294,0.0007777435811044456,46,21,33,0.003065317669608741,
Qwen_2.5_72B_instruct,destructive_relief_vs_inert,True,174,366,47.540983606557376,335,365,91.78082191780823,137,342,40.058479532163744,2,9,22.22222222222222,0.048948065180754445,49,28,24,0.02203345876482212,0.39158452144603556
