model,s1/s1,s2/s2,s1s2/s1,s1s2/s2,s1s2_negval/s1,s1s2_negval/s2,s1s2_negval/negemotion,s1s2_fear/s1,s1s2_fear/s2,s1s2_fear/fear,negval/negemotion,fear/fear,s2/s1,s1/s2
Gemma_2_27B_base,0.00706,0.0145,0.00686,0.01558,0.00665,0.01757,0.00644,0.00677,0.01538,0.00705,0.00678,0.00687,1.01533,1.68045
Gemma_2_27B_instruct,0.01155,0.01086,0.0124,0.01286,0.01568,0.01783,0.00932,0.01303,0.01378,0.01129,0.01396,0.0099,0.81133,1.10768
Gemma_2_2B_base,0.009,0.00459,0.83914,0.00442,0.99783,0.3264,0.00645,0.57563,0.28862,0.00636,0.00646,0.00635,0.89455,0.86543
Gemma_2_2B_instruct,0.00515,0.00441,0.41128,0.00424,0.35996,0.13252,0.00894,0.3071,0.12279,0.00823,0.00936,0.00937,0.51854,0.52963
Gemma_2_9B_base,0.01245,0.009,0.76873,0.00893,0.89542,0.85828,0.00561,1.45733,0.6242,0.00483,0.0058,0.00443,1.01636,0.98224
Gemma_2_9B_instruct,0.01174,0.00556,2.15691,0.00577,2.49507,0.46551,0.00627,4.10707,0.72982,0.0068,0.00651,0.0068,1.27741,0.94371
Gemma_3_27B_base,0.01221,0.02204,0.00817,0.02099,0.00697,0.02139,0.01442,0.00703,0.02108,0.01755,0.01565,0.01817,3.52598,1.01327
Gemma_3_27B_instruct,0.02487,0.03389,0.02345,0.03069,0.02297,0.02924,0.01752,0.02294,0.02951,0.01377,0.01838,0.0145,1.66376,1.84342
Llama_3.1_70B_base,0.00742,0.00968,0.6459,0.00915,0.68725,0.36184,0.01113,0.59681,0.10534,0.01136,0.00999,0.01079,1.19757,1.42945
Llama_3.1_70B_instruct,0.01152,0.01587,0.49076,0.01468,0.81324,0.901,0.01144,0.50894,0.17045,0.01333,0.01127,0.01394,0.83599,0.91528
Llama_3.1_8B_base,0.01104,0.00629,0.44375,0.00661,0.43483,0.35493,0.00848,0.48784,0.05748,0.00947,0.00905,0.00922,0.99558,0.97654
Llama_3.1_8B_instruct,0.01389,0.01211,0.43457,0.01026,0.42807,0.57767,0.00802,0.51581,0.20926,0.01334,0.00818,0.01162,1.02769,1.03282
Llama_3.3_70B_instruct,0.01011,0.01499,0.4066,0.0168,0.80194,1.31899,0.00904,0.54706,0.22929,0.01763,0.00935,0.01715,0.87458,0.95381
Mistral_7B_base,0.00832,0.00492,0.49239,0.00551,0.50793,0.15289,0.0054,0.4737,0.10371,0.00737,0.00605,0.0075,0.99507,1.02525
Mistral_7B_instruct,0.00901,0.00677,0.51103,0.00664,0.52732,0.24241,0.00665,0.57625,0.22625,0.00716,0.00729,0.00723,0.80951,0.888
Mistral_Small_24B_base,0.00978,0.00721,0.8412,0.00775,0.88825,0.46359,0.00767,0.75452,0.31251,0.00905,0.00723,0.00946,1.05265,1.1273
Phi_4,0.00941,0.00636,0.33911,0.00624,0.34105,0.13726,0.0087,0.3411,0.0895,0.00894,0.00846,0.00876,1.09208,1.02095
Qwen_2.5_32B_base,0.00733,0.00559,0.94371,0.00569,0.54901,1.78261,0.00489,0.41868,0.84582,0.0052,0.0049,0.00534,1.32516,1.29539
Qwen_2.5_32B_instruct,0.01147,0.00586,1.44113,0.00598,0.97259,0.30858,0.00628,1.18849,0.07986,0.00874,0.00663,0.00844,1.10493,0.98518
Qwen_2.5_72B_base,0.00553,0.00622,0.11098,0.00538,0.18285,0.2162,0.00858,0.28244,0.38632,0.00476,0.00842,0.00526,0.41986,0.1992
Qwen_2.5_72B_instruct,0.01182,0.0071,0.79538,0.00666,0.7646,0.05083,0.0076,0.78759,0.02084,0.00918,0.00801,0.01001,1.44028,1.07403
Qwen_2.5_7B_base,0.00737,0.00578,0.37708,0.00575,0.45582,0.27803,0.00784,0.43969,0.22701,0.008,0.00797,0.0086,0.84801,0.95179
Qwen_2.5_7B_instruct,0.0041,0.00453,0.14536,0.00447,0.1312,0.27747,0.00648,0.13626,0.10932,0.00891,0.00613,0.00858,0.86199,0.88225
Qwen_3_14B_base,0.00473,0.01012,0.12079,0.01059,0.1383,0.45906,0.00805,0.2025,0.87246,0.00489,0.0082,0.00508,0.96561,1.11883
Qwen_3_8B_base,0.00488,0.00454,0.27745,0.00454,0.43637,0.4752,0.00491,0.68521,0.5569,0.00345,0.00519,0.00346,0.69092,0.83711
