model,S1_layer,S1_ratio_at_coeff1,S2_layer,S2_ratio_at_coeff1
Gemma_2_27B_base,6,0.6538,13,0.3836
Gemma_2_27B_instruct,13,0.3154,13,0.4772
Gemma_2_2B_base,7,0.573,13,0.4979
Gemma_2_2B_instruct,10,0.6328,15,0.5911
Gemma_2_9B_base,12,0.6065,21,0.6502
Gemma_2_9B_instruct,12,0.5038,12,0.6978
Gemma_3_27B_base,22,0.2861,24,0.2822
Gemma_3_27B_instruct,24,0.2337,55,0.0948
Llama_3.1_70B_base,32,0.6339,40,0.5874
Llama_3.1_70B_instruct,24,0.3977,24,0.6196
Llama_3.1_8B_base,12,0.6277,16,0.6928
Llama_3.1_8B_instruct,12,0.5802,16,0.64
Llama_3.3_70B_instruct,24,0.3697,24,0.5617
Mistral_7B_base,12,0.788,16,0.6498
Mistral_7B_instruct,12,0.7434,16,0.6745
Mistral_Small_24B_base,12,0.6469,16,0.7095
Phi_4,6,0.4968,12,0.3753
Qwen_2.5_32B_base,25,0.6112,32,0.6105
Qwen_2.5_32B_instruct,32,0.6111,38,0.6349
Qwen_2.5_72B_base,60,0.4718,60,0.6489
Qwen_2.5_72B_instruct,48,0.649,60,0.4634
Qwen_2.5_7B_base,8,0.6494,16,0.6641
Qwen_2.5_7B_instruct,8,0.5963,16,0.6521
Qwen_3_14B_base,16,0.5365,20,0.5408
Qwen_3_8B_base,21,0.723,27,0.3485
