pair,grand_mean,family_balanced,min,max,Gemma,Llama,Mistral,Phi,Qwen
S1_pain x S2_pain,0.6098,0.6056,0.4149,0.7069,0.6259,0.5633,0.5722,0.6329,0.6338
S2_pain x NegEmotion,0.2071,0.2233,0.0728,0.5139,0.159,0.1372,0.1121,0.3976,0.3106
S2_pain x Fear,0.122,0.1496,0.0088,0.2859,0.0688,0.1202,0.1146,0.2859,0.1586
S2_pain x Sadness,0.3829,0.3873,0.304,0.5567,0.386,0.3609,0.3346,0.452,0.4032
S2_pain x NegWorld,0.0265,0.0466,-0.0763,0.2423,-0.0037,-0.0149,-0.0034,0.1805,0.0744
S1_pain x Fear,0.0863,0.099,-0.1284,0.3322,0.0541,-0.0113,0.0566,0.2219,0.1737
S1_pain x NegEmotion,0.0564,0.0475,-0.1468,0.3161,0.0206,-0.0522,0.0085,0.0862,0.1744
S1_pain x NegWorld,-0.0694,-0.0725,-0.2263,0.1738,-0.0919,-0.1174,-0.0992,-0.0455,-0.0086
S1_pain x Sadness,0.2617,0.2516,0.1161,0.3751,0.2207,0.2554,0.2104,0.2435,0.3281
Fear x NegEmotion,0.6827,0.6836,0.6012,0.7732,0.6794,0.6759,0.6837,0.69,0.6889
Fear x NegWorld,0.5931,0.5692,0.4638,0.7453,0.6095,0.5731,0.5435,0.5006,0.6193
NegEmotion x NegWorld,0.7344,0.7196,0.6416,0.7899,0.7355,0.7153,0.7417,0.6528,0.7525
Sadness x NegEmotion,0.5002,0.5087,0.3689,0.6133,0.5001,0.4527,0.5208,0.5541,0.5156
Sadness x NegWorld,0.4108,0.388,0.2727,0.5312,0.4328,0.3737,0.444,0.2727,0.417
S2_pain x BodySens,0.0354,0.0292,-0.0854,0.2627,0.0387,-0.057,-0.042,0.0951,0.1113
S2_pain x Numb,0.1982,0.1896,0.1032,0.3157,0.2064,0.1758,0.1659,0.1816,0.2181
S1_pain x Numb,0.3042,0.279,0.1551,0.4454,0.2989,0.2811,0.3252,0.1551,0.3348
