model,n_layers,best_layer,rel_depth_best,fixed75_layer,mean_curve_best,mean_curve_fixed75,delta_mean,S2_1P_best,S2_1P_fixed75,delta_1P,insample_S2_1P
Gemma_2_27B_base,46,35,0.7778,34,0.983,0.9825,0.0005,0.9825,0.985,-0.0025,0.9947
Gemma_2_27B_instruct,46,37,0.8222,34,0.985,0.9825,0.0025,0.996,0.996,0.0,0.9979
Gemma_2_2B_base,26,23,0.92,19,0.96725,0.959,0.00825,0.966,0.9585,0.0075,0.9779
Gemma_2_2B_instruct,26,25,1.0,19,0.95825,0.91875,0.0395,0.9885,0.988,0.0005,0.993
Gemma_2_9B_base,42,40,0.9756,31,0.98075,0.965,0.01575,0.979,0.9665,0.0125,0.9845
Gemma_2_9B_instruct,42,37,0.9024,31,0.978,0.966,0.012,0.992,0.9865,0.0055,0.996
Gemma_3_27B_base,62,56,0.918,46,0.9815,0.94425,0.03725,0.9785,0.9445,0.034,0.987
Gemma_3_27B_instruct,62,59,0.9672,46,0.9565,0.942,0.0145,0.9735,0.9635,0.01,0.9879
Llama_3.1_70B_base,80,70,0.8861,59,0.979,0.9755,0.0035,0.9845,0.9795,0.005,0.9913
Llama_3.1_70B_instruct,80,48,0.6076,59,0.97725,0.96975,0.0075,0.9885,0.985,0.0035,0.9931
Llama_3.1_8B_base,32,28,0.9032,23,0.9835,0.974,0.0095,0.995,0.9955,-0.0005,0.9955
Llama_3.1_8B_instruct,32,28,0.9032,23,0.986,0.98,0.006,0.9975,0.996,0.0015,0.9988
Llama_3.3_70B_instruct,80,47,0.5949,59,0.96825,0.9625,0.00575,0.9735,0.9735,0.0,0.9862
Mistral_7B_base,32,26,0.8387,23,0.96775,0.9605,0.00725,0.989,0.986,0.003,0.9954
Mistral_7B_instruct,32,27,0.871,23,0.98625,0.975,0.01125,0.9885,0.9825,0.006,0.9954
Mistral_Small_24B_base,40,32,0.8205,29,0.97525,0.96975,0.0055,0.9845,0.982,0.0025,0.9969
Phi_4,40,20,0.5128,29,0.92775,0.8945,0.03325,0.9315,0.9265,0.005,0.9464
Qwen_2.5_32B_base,64,60,0.9524,47,0.9245,0.90625,0.01825,0.907,0.8975,0.0095,0.9311
Qwen_2.5_32B_instruct,64,61,0.9683,47,0.9555,0.91,0.0455,0.9625,0.9015,0.061,0.9877
Qwen_2.5_72B_base,80,78,0.9873,59,0.95425,0.8785,0.07575,0.961,0.906,0.055,0.9845
Qwen_2.5_72B_instruct,80,76,0.962,59,0.9645,0.9215,0.043,0.986,0.93,0.056,0.9963
Qwen_2.5_7B_base,28,24,0.8889,20,0.96825,0.905,0.06325,0.9685,0.8845,0.084,0.985
Qwen_2.5_7B_instruct,28,24,0.8889,20,0.96075,0.8945,0.06625,0.9565,0.8885,0.068,0.9745
Qwen_3_14B_base,40,31,0.7949,29,0.964,0.9505,0.0135,0.9645,0.9425,0.022,0.9847
Qwen_3_8B_base,36,34,0.9714,26,0.97725,0.94825,0.029,0.979,0.9495,0.0295,0.9895
