model,S2_1P_pain_z,S2_1P_ctrl_z,numb_z,sadness_z,arousal_z,random_z
Gemma_2_27B_base,0.8466,-0.8466,0.0112,0.1238,-0.4021,-0.6196
Gemma_2_27B_instruct,0.9075,-0.9075,0.0468,0.0828,-0.3861,-0.4812
Gemma_2_2B_base,0.8018,-0.8018,-0.1303,-0.0154,-0.4133,-0.5896
Gemma_2_2B_instruct,0.8838,-0.8838,-0.0841,-0.2018,-0.3311,-0.7282
Gemma_2_9B_base,0.818,-0.818,-0.2071,0.1652,-0.5921,-0.6942
Gemma_2_9B_instruct,0.876,-0.876,0.154,-0.062,-0.4823,-0.7317
Gemma_3_27B_base,0.8255,-0.8255,-0.3715,-0.0672,-0.5673,-0.6932
Gemma_3_27B_instruct,0.8111,-0.8111,-0.3742,-0.0231,-0.5015,-0.5169
Llama_3.1_70B_base,0.8505,-0.8505,-0.1444,0.071,-0.2518,-0.487
Llama_3.1_70B_instruct,0.8623,-0.8623,-0.0472,0.1714,-0.2559,-0.5176
Llama_3.1_8B_base,0.8455,-0.8455,-0.1354,-0.0826,-0.3156,-0.729
Llama_3.1_8B_instruct,0.8864,-0.8864,0.0355,0.0687,-0.3495,-0.7302
Llama_3.3_70B_instruct,0.8435,-0.8435,0.1422,0.208,-0.4305,-0.5334
Mistral_7B_base,0.8459,-0.8459,-0.3294,0.052,-0.3494,-0.5313
Mistral_7B_instruct,0.8543,-0.8543,-0.1748,0.0337,-0.2912,-0.647
Mistral_Small_24B_base,0.8685,-0.8685,-0.061,0.0003,-0.3984,-0.5984
Phi_4,0.7771,-0.7771,-0.285,0.0533,-0.4446,-0.7979
Qwen_2.5_32B_base,0.7389,-0.7389,-0.0547,0.171,-0.7013,-0.8286
Qwen_2.5_32B_instruct,0.8357,-0.8357,0.0587,0.0839,-0.6858,-0.7196
Qwen_2.5_72B_base,0.7985,-0.7985,0.2502,0.1878,-0.6403,-0.6023
Qwen_2.5_72B_instruct,0.871,-0.871,0.2069,0.0039,-0.3202,-0.3861
Qwen_2.5_7B_base,0.8271,-0.8271,-0.0011,0.0471,-0.4658,-0.5404
Qwen_2.5_7B_instruct,0.7906,-0.7906,-0.0886,-0.0997,-0.4962,-0.577
Qwen_3_14B_base,0.8146,-0.8146,-0.1206,-0.0182,-0.3845,-0.9953
Qwen_3_8B_base,0.8274,-0.8274,-0.1414,-0.1949,-0.4903,-0.8162
