model,n_layers,selected_layer,argmax_of_S2_1P_curve,selected_is_S2_1P_argmax,S2_1P_at_selected,S2_1P_curve_max,gap_to_own_argmax,fold_SE_at_selected,optimism_independent_noise,optimism_shared_fold_shock,optimism_if_selected_on_1P_alone
Gemma_2_27B_base,46,35,34,False,0.9825,0.985,0.0025,0.007416,0.008775,0.000355,0.012261
Gemma_2_27B_instruct,46,37,35,False,0.996,0.997,0.001,0.002608,0.002317,0.00026,0.007775
Gemma_2_2B_base,26,23,25,False,0.966,0.9685,0.0025,0.01228,0.011434,0.000524,0.015689
Gemma_2_2B_instruct,26,25,23,False,0.9885,0.991,0.0025,0.00493,0.002931,0.000697,0.005786
Gemma_2_9B_base,42,40,40,True,0.979,0.979,0.0,0.005857,0.004246,-0.000154,0.008622
Gemma_2_9B_instruct,42,37,37,True,0.992,0.992,0.0,0.003271,0.003845,-1.1e-05,0.010342
Gemma_3_27B_base,62,56,50,False,0.9785,0.984,0.0055,0.009607,0.013476,-0.000268,0.020045
Gemma_3_27B_instruct,62,59,59,True,0.9735,0.9735,0.0,0.010574,0.012751,0.000545,0.023475
Llama_3.1_70B_base,80,70,47,False,0.9845,0.9865,0.002,0.004324,0.00413,0.000419,0.008456
Llama_3.1_70B_instruct,80,48,69,False,0.9885,0.9895,0.001,0.004037,0.003309,8.3e-05,0.008675
Llama_3.1_8B_base,32,28,24,False,0.995,0.9965,0.0015,0.003937,0.001649,5.8e-05,0.00587
Llama_3.1_8B_instruct,32,28,27,False,0.9975,0.998,0.0005,0.001,0.000263,-5e-06,0.0027
Llama_3.3_70B_instruct,80,47,75,False,0.9735,0.9785,0.005,0.01055,0.012747,0.000587,0.019857
Mistral_7B_base,32,26,26,True,0.989,0.989,0.0,0.004827,0.002933,-5.2e-05,0.008446
Mistral_7B_instruct,32,27,26,False,0.9885,0.9895,0.001,0.004219,0.004526,9e-05,0.008597
Mistral_Small_24B_base,40,32,34,False,0.9845,0.9855,0.001,0.005805,0.004291,0.000636,0.009219
Phi_4,40,20,36,False,0.9315,0.945,0.0135,0.01195,0.014196,-0.000224,0.031179
Qwen_2.5_32B_base,64,60,59,False,0.907,0.9115,0.0045,0.01071,0.012451,0.000254,0.026296
Qwen_2.5_32B_instruct,64,61,60,False,0.9625,0.9645,0.002,0.011726,0.009492,2.9e-05,0.016969
Qwen_2.5_72B_base,80,78,78,True,0.961,0.961,0.0,0.011261,0.010497,0.000348,0.02249
Qwen_2.5_72B_instruct,80,76,75,False,0.986,0.986,0.0,0.007021,0.007062,0.000146,0.013465
Qwen_2.5_7B_base,28,24,25,False,0.9685,0.97,0.0015,0.010431,0.007583,3.7e-05,0.010604
Qwen_2.5_7B_instruct,28,24,27,False,0.9565,0.9595,0.003,0.011524,0.005819,0.000192,0.008607
Qwen_3_14B_base,40,31,36,False,0.9645,0.981,0.0165,0.009445,0.004863,0.000368,0.009683
Qwen_3_8B_base,36,34,34,True,0.979,0.979,0.0,0.008649,0.006551,9.6e-05,0.011996
