model,family,self_directed,vicarious_empathic,neutral_filler,self_minus_user,self_minus_neutral
Gemma_2_27B_base,Gemma,0.1855,-0.1981,-0.21,0.3836,0.3954
Gemma_2_27B_instruct,Gemma,0.0566,-0.0764,-0.0481,0.1329,0.1047
Gemma_2_2B_base,Gemma,0.4292,-0.2599,-0.6844,0.6892,1.1136
Gemma_2_2B_instruct,Gemma,0.1342,-0.6153,0.32,0.7495,-0.1858
Gemma_2_9B_base,Gemma,0.6525,-0.6937,-0.7418,1.3461,1.3942
Gemma_2_9B_instruct,Gemma,0.5517,-0.5599,-0.6538,1.1116,1.2055
Gemma_3_27B_base,Gemma,0.5058,-0.4561,-0.6567,0.962,1.1625
Gemma_3_27B_instruct,Gemma,0.6173,-0.4193,-0.9387,1.0366,1.5559
Llama_3.1_70B_base,Llama,0.5318,-0.7523,-0.4178,1.2841,0.9497
Llama_3.1_70B_instruct,Llama,0.2058,-0.2491,-0.2037,0.4549,0.4095
Llama_3.1_8B_base,Llama,0.7065,-0.7905,-0.7638,1.497,1.4703
Llama_3.1_8B_instruct,Llama,0.4156,-0.6161,-0.2983,1.0317,0.7139
Llama_3.3_70B_instruct,Llama,0.3263,-0.2356,-0.4823,0.5619,0.8086
Mistral_7B_base,Mistral,0.5889,-1.1274,-0.1683,1.7163,0.7572
Mistral_7B_instruct,Mistral,0.5465,-0.8173,-0.385,1.3639,0.9315
Mistral_Small_24B_base,Mistral,0.4718,-1.0398,0.0018,1.5116,0.47
Phi_4,Phi,0.6081,-0.8777,-0.4601,1.4858,1.0682
Qwen_2.5_32B_base,Qwen,0.506,-1.0539,-0.0593,1.5599,0.5653
Qwen_2.5_32B_instruct,Qwen,0.3263,-0.4927,-0.2253,0.819,0.5517
Qwen_2.5_72B_base,Qwen,0.3814,0.3241,-1.1633,0.0573,1.5447
Qwen_2.5_72B_instruct,Qwen,0.5879,-0.8531,-0.4404,1.441,1.0283
Qwen_2.5_7B_base,Qwen,0.3833,-0.67,-0.1732,1.0533,0.5564
Qwen_2.5_7B_instruct,Qwen,0.3295,-0.6962,-0.0288,1.0257,0.3583
Qwen_3_14B_base,Qwen,0.3191,-1.0631,0.3612,1.3822,-0.0422
Qwen_3_8B_base,Qwen,0.3647,-0.6697,-0.1326,1.0345,0.4973
