model,vector,max_abs_z_reconstruction_error,stored_z_mean,stored_z_popsd
Gemma_2_27B_base,s1_pain_vector,5e-05,4.8e-07,0.99999953
Gemma_2_27B_base,s2_pain_vector,5e-05,1.43e-06,1.00000071
Gemma_2_27B_base,fear_vector,5e-05,-1.43e-06,1.00000009
Gemma_2_27B_base,negemotion_vector,5e-05,-0.0,0.99999866
Gemma_2_27B_base,negworld_vector,5e-05,1.9e-06,0.99999902
Gemma_2_27B_base,sadness_vector,5e-05,-1.9e-06,0.99999799
Gemma_2_27B_instruct,s1_pain_vector,5e-05,-9.5e-07,1.0000003
Gemma_2_27B_instruct,s2_pain_vector,5e-05,-7.1e-07,1.00000018
Gemma_2_27B_instruct,fear_vector,5e-05,1.19e-06,0.99999851
Gemma_2_27B_instruct,negemotion_vector,5e-05,-1.43e-06,0.99999997
Gemma_2_27B_instruct,negworld_vector,5e-05,-4.8e-07,0.99999791
Gemma_2_27B_instruct,sadness_vector,5e-05,-2.4e-07,0.99999825
Gemma_2_2B_base,s1_pain_vector,5.2e-05,-1.19e-06,0.9999984
Gemma_2_2B_base,s2_pain_vector,5.5e-05,-1.43e-06,1.00000228
Gemma_2_2B_base,fear_vector,5.3e-05,2.4e-07,0.99999705
Gemma_2_2B_base,negemotion_vector,5.2e-05,4.8e-07,0.99999981
Gemma_2_2B_base,negworld_vector,5.1e-05,2.86e-06,0.99999891
Gemma_2_2B_base,sadness_vector,5.1e-05,1.67e-06,0.99999737
Gemma_2_2B_instruct,s1_pain_vector,5e-05,-4.8e-07,0.99999913
Gemma_2_2B_instruct,s2_pain_vector,5e-05,9.5e-07,1.00000108
Gemma_2_2B_instruct,fear_vector,5e-05,-2.4e-07,1.00000293
Gemma_2_2B_instruct,negemotion_vector,5e-05,-0.0,1.00000078
Gemma_2_2B_instruct,negworld_vector,5e-05,-4.8e-07,0.99999708
Gemma_2_2B_instruct,sadness_vector,5.1e-05,1.19e-06,1.0000003
Gemma_2_9B_base,s1_pain_vector,5.1e-05,1.67e-06,1.00000158
Gemma_2_9B_base,s2_pain_vector,5.1e-05,2.4e-07,0.99999962
Gemma_2_9B_base,fear_vector,5e-05,9.5e-07,0.99999928
Gemma_2_9B_base,negemotion_vector,5e-05,-1.67e-06,0.99999946
Gemma_2_9B_base,negworld_vector,5e-05,-9.5e-07,1.00000047
Gemma_2_9B_base,sadness_vector,5e-05,-4.8e-07,1.00000126
Gemma_2_9B_instruct,s1_pain_vector,5.1e-05,-7.1e-07,0.99999987
Gemma_2_9B_instruct,s2_pain_vector,5.1e-05,2.4e-07,1.00000085
Gemma_2_9B_instruct,fear_vector,5.1e-05,2.4e-07,1.00000081
Gemma_2_9B_instruct,negemotion_vector,5.1e-05,1.67e-06,1.00000051
Gemma_2_9B_instruct,negworld_vector,5.2e-05,-3.1e-06,1.00000133
Gemma_2_9B_instruct,sadness_vector,5.1e-05,-1.9e-06,0.99999775
Gemma_3_27B_base,s1_pain_vector,5e-05,-2.38e-06,0.99999968
Gemma_3_27B_base,s2_pain_vector,5e-05,9.5e-07,0.99999969
Gemma_3_27B_base,fear_vector,5e-05,-2.38e-06,1.0
Gemma_3_27B_base,negemotion_vector,5e-05,1.67e-06,1.00000003
Gemma_3_27B_base,negworld_vector,5e-05,2.4e-07,1.00000064
Gemma_3_27B_base,sadness_vector,5e-05,1.43e-06,1.00000062
Gemma_3_27B_instruct,s1_pain_vector,5e-05,-1.67e-06,0.9999991
Gemma_3_27B_instruct,s2_pain_vector,5e-05,1.19e-06,0.99999924
Gemma_3_27B_instruct,fear_vector,5e-05,2.14e-06,0.9999993
Gemma_3_27B_instruct,negemotion_vector,5e-05,-7.1e-07,1.00000096
Gemma_3_27B_instruct,negworld_vector,5e-05,-7.1e-07,1.00000102
Gemma_3_27B_instruct,sadness_vector,5e-05,1.19e-06,1.00000078
Llama_3.1_70B_base,s1_pain_vector,5.4e-05,-1.9e-06,1.00000264
Llama_3.1_70B_base,s2_pain_vector,5.4e-05,3.1e-06,1.00000094
Llama_3.1_70B_base,fear_vector,6.5e-05,-1.214e-05,1.00000117
Llama_3.1_70B_base,negemotion_vector,7.9e-05,-6.19e-06,1.00001184
Llama_3.1_70B_base,negworld_vector,6.7e-05,1.19e-06,1.00000703
Llama_3.1_70B_base,sadness_vector,7.4e-05,-3.81e-06,0.99999181
