model,n_layers,selected_layer,selected_depth,selected_cv_auc,fixed_75pct_layer,fixed_75pct_cv_auc,selected_minus_fixed,layers_within_0.01,layers_within_0.02,layers_within_0.05
Gemma_2_27B_base,46,35,0.7777777777777778,0.983,34,0.9825,0.0004999999999999449,9,15,18
Gemma_2_27B_instruct,46,37,0.8222222222222222,0.9849999999999999,34,0.9824999999999999,0.0024999999999999467,10,15,21
Gemma_2_2B_base,26,23,0.92,0.9672499999999999,19,0.9590000000000001,0.008249999999999869,5,8,10
Gemma_2_2B_instruct,26,25,1.0,0.9582499999999999,19,0.9187500000000002,0.03949999999999976,2,5,16
Gemma_2_9B_base,42,40,0.975609756097561,0.9807499999999999,31,0.965,0.01574999999999993,6,11,19
Gemma_2_9B_instruct,42,37,0.9024390243902439,0.978,31,0.966,0.01200000000000001,9,16,31
Gemma_3_27B_base,62,56,0.9180327868852459,0.9815,46,0.94425,0.037250000000000005,8,13,20
Gemma_3_27B_instruct,62,59,0.9672131147540983,0.9564999999999999,46,0.942,0.014499999999999957,5,17,27
Llama_3.1_70B_base,80,70,0.8860759493670886,0.979,59,0.9755,0.0034999999999999476,39,42,47
Llama_3.1_70B_instruct,80,48,0.6075949367088608,0.97725,59,0.96975,0.007499999999999951,37,41,55
Llama_3.1_8B_base,32,28,0.9032258064516129,0.9835,23,0.974,0.009500000000000064,8,11,17
Llama_3.1_8B_instruct,32,28,0.9032258064516129,0.986,23,0.9799999999999999,0.006000000000000116,10,11,16
Llama_3.3_70B_instruct,80,47,0.5949367088607594,0.96825,59,0.9624999999999999,0.005750000000000144,38,40,55
Mistral_7B_base,32,26,0.8387096774193549,0.9677500000000001,23,0.9604999999999999,0.007250000000000201,12,13,26
Mistral_7B_instruct,32,27,0.8709677419354839,0.98625,23,0.9750000000000001,0.011249999999999871,8,12,16
Mistral_Small_24B_base,40,32,0.8205128205128205,0.97525,29,0.9697499999999999,0.00550000000000006,15,18,23
Phi_4,40,20,0.5128205128205128,0.9277500000000001,29,0.8945000000000001,0.03325,3,9,33
Qwen_2.5_32B_base,64,60,0.9523809523809523,0.9245,47,0.90625,0.01824999999999999,7,25,52
Qwen_2.5_32B_instruct,64,61,0.9682539682539683,0.9555,47,0.9100000000000001,0.045499999999999874,5,8,31
Qwen_2.5_72B_base,80,78,0.9873417721518988,0.95425,59,0.8785000000000001,0.07574999999999998,3,4,9
Qwen_2.5_72B_instruct,80,76,0.9620253164556962,0.9644999999999999,59,0.9215,0.04299999999999993,6,10,40
Qwen_2.5_7B_base,28,24,0.8888888888888888,0.96825,20,0.905,0.06325000000000003,3,5,7
Qwen_2.5_7B_instruct,28,24,0.8888888888888888,0.96075,20,0.8945000000000001,0.06624999999999992,3,6,7
Qwen_3_14B_base,40,31,0.7948717948717948,0.9640000000000001,29,0.9505000000000001,0.013499999999999956,7,11,18
Qwen_3_8B_base,36,34,0.9714285714285714,0.97725,26,0.94825,0.028999999999999915,5,6,17
