model,s1_only_s1_over_baseline,s2_only_s2_over_baseline,s1s2_s1_over_baseline,s1s2_s2_over_baseline,s1s2_negval_s1_over_baseline,s1s2_negval_s2_over_baseline
Gemma_2_27B_base,0.00706131065701898,0.014501206371681032,0.006859370635886494,0.015580571958046073,0.0066502309252774085,0.017573977735978755
Gemma_2_27B_instruct,0.011548684478342206,0.010861157218897004,0.012403533216149249,0.01285550558664818,0.01567549051869515,0.017826459201937123
Gemma_2_2B_base,0.008995241825930173,0.00459215900661996,0.8391352850958222,0.004418559088721391,0.9978288384553112,0.3263984445508547
Gemma_2_2B_instruct,0.00515304424308654,0.00441415709113591,0.4112809711757627,0.004239783830175166,0.3599578036952859,0.13252444367311214
Gemma_2_9B_base,0.012445452478449349,0.009001548160507838,0.7687293344333231,0.00893344277738909,0.895415772238498,0.8582833811030354
Gemma_2_9B_instruct,0.011735218777585264,0.005559052880329786,2.156908455124182,0.005772161384371794,2.495074695159811,0.46550523550292905
Gemma_3_27B_base,0.012209852295521509,0.02203700158532162,0.008170270901509893,0.02099487415687045,0.006966082440797838,0.021394005020357175
Gemma_3_27B_instruct,0.02487450913765782,0.03389094855517516,0.023448842371510972,0.030685349689964586,0.022971679518897514,0.029238775680631983
Llama_3.1_70B_base,0.007418458313331209,0.009684496262332982,0.6458966855810455,0.009146332772592863,0.6872476209783542,0.3618388280896671
Llama_3.1_70B_instruct,0.01152206579684936,0.015869151892460305,0.49076222518175744,0.014679271975446034,0.8132395743770261,0.901002956076058
Llama_3.1_8B_base,0.011042895477433519,0.006291645262095384,0.44374796570378733,0.0066075961276312704,0.434825334672334,0.3549273433596456
Llama_3.1_8B_instruct,0.013889746377402075,0.012114135962290598,0.43457064464172773,0.010259935415680849,0.4280672606675996,0.5776660930919149
Llama_3.3_70B_instruct,0.01010703261411251,0.014990380452993494,0.40660299766149666,0.016800333687084217,0.8019413241868096,1.318986266799454
Mistral_7B_base,0.00831914442537104,0.004919371727050918,0.49239250571133986,0.005513466026920564,0.5079280125543068,0.15289345538725152
Mistral_7B_instruct,0.009010195097427119,0.00677084925280045,0.5110298942295015,0.006635897778778266,0.527319635405785,0.24241345317163973
Mistral_Small_24B_base,0.009784163268965624,0.007211647466889338,0.8411950347845396,0.00774849803628021,0.8882476990415336,0.4635916222901865
Phi_4,0.00941225915538263,0.006362708040949263,0.3391101724959476,0.006242202389768976,0.3410498892144613,0.13725972399181535
Qwen_2.5_32B_base,0.00733345965078771,0.005590199757367992,0.943711785470552,0.005691577825004204,0.5490065541162993,1.7826070037131436
Qwen_2.5_32B_instruct,0.011469576367924901,0.005860367651192239,1.4411319582271251,0.005977475911161862,0.9725937423278979,0.30858060177574753
Qwen_2.5_72B_base,0.00553368575559871,0.006222344180490453,0.11098407654847865,0.0053823203190608735,0.18285411127945958,0.21620465035682304
Qwen_2.5_72B_instruct,0.011819456641607702,0.007095583582335053,0.7953844655803741,0.006659326156833352,0.7645951472863212,0.05082622361947961
Qwen_2.5_7B_base,0.007368302240544463,0.005782652723619556,0.3770838891207964,0.005753915391338928,0.45581910481262394,0.2780342978116998
Qwen_2.5_7B_instruct,0.00409674471118925,0.004533022774570544,0.14535712403203171,0.004469166027171104,0.13120058913425872,0.2774733420309907
Qwen_3_14B_base,0.004725703949312942,0.010119400926167414,0.12078503833861245,0.010589429055858792,0.1383019730134851,0.45906110659737925
Qwen_3_8B_base,0.004884716814065294,0.0045395049887840475,0.27744724776704743,0.004542148171604133,0.4363724256321665,0.47520454422184216
