model,family,group,self_directed,vicarious_empathic,neutral_filler,self_minus_user,self_minus_neutral,user_minus_neutral
Gemma_2_27B_base,Gemma,base,0.18548636363636364,-0.1981035,-0.2099625,0.3835898636363636,0.39544886363636367,0.011859000000000008
Gemma_2_27B_instruct,Gemma,instruct,0.05658272727272728,-0.076367,-0.048118499999999995,0.13294972727272727,0.10470122727272727,-0.02824850000000001
Gemma_2_2B_base,Gemma,base,0.4292352272727273,-0.25994249999999997,-0.6843805,0.6891777272727273,1.1136157272727272,0.424438
Gemma_2_2B_instruct,Gemma,instruct,0.13421636363636363,-0.615314,0.320039,0.7495303636363637,-0.18582263636363638,-0.9353530000000001
Gemma_2_9B_base,Gemma,base,0.652464090909091,-0.693651,-0.741766,1.346115090909091,1.394230090909091,0.04811500000000002
Gemma_2_9B_instruct,Gemma,instruct,0.5516840909090909,-0.559905,-0.653801,1.1115890909090909,1.2054850909090908,0.09389599999999998
Gemma_3_27B_base,Gemma,base,0.5058206818181818,-0.456145,-0.6566635,0.9619656818181819,1.162484181818182,0.20051849999999993
Gemma_3_27B_instruct,Gemma,instruct,0.6172715909090909,-0.4193255,-0.938673,1.036597090909091,1.5559445909090908,0.5193475
Llama_3.1_70B_base,Llama,base,0.5318497727272727,-0.7522655,-0.4178015,1.2841152727272727,0.9496512727272728,-0.33446400000000004
Llama_3.1_70B_instruct,Llama,instruct,0.20581522727272727,-0.249128,-0.2037045,0.4549432272727273,0.4095197272727273,-0.04542349999999998
Llama_3.1_8B_base,Llama,base,0.7064929545454546,-0.790497,-0.7637595,1.4969899545454546,1.4702524545454545,-0.02673749999999997
Llama_3.1_8B_instruct,Llama,instruct,0.4156095454545454,-0.616102,-0.29825999999999997,1.0317115454545456,0.7138695454545454,-0.31784200000000007
Llama_3.3_70B_instruct,Llama,instruct,0.3263018181818182,-0.235553,-0.482311,0.5618548181818181,0.8086128181818182,0.24675799999999998
Mistral_7B_base,Mistral,base,0.5889129545454546,-1.127385,-0.1682505,1.7162979545454546,0.7571634545454545,-0.9591345000000001
Mistral_7B_instruct,Mistral,instruct,0.54652,-0.817334,-0.38502,1.363854,0.93154,-0.43231400000000003
Mistral_Small_24B_base,Mistral,base,0.4718131818181818,-1.0397925,0.0018055000000000013,1.5116056818181818,0.4700076818181818,-1.0415979999999998
Phi_4,Phi,instruct,0.6081065909090909,-0.8777185,-0.46012,1.4858250909090909,1.068226590909091,-0.4175985
Qwen_2.5_32B_base,Qwen,base,0.5059940909090909,-1.0538915,-0.05929399999999999,1.559885590909091,0.5652880909090908,-0.9945975
Qwen_2.5_32B_instruct,Qwen,instruct,0.32634386363636364,-0.4926505,-0.2253085,0.8189943636363637,0.5516523636363636,-0.26734199999999997
Qwen_2.5_72B_base,Qwen,base,0.38143295454545456,0.324142,-1.163292,0.057290954545454575,1.5447249545454547,1.487434
Qwen_2.5_72B_instruct,Qwen,instruct,0.5879181818181818,-0.853051,-0.440365,1.4409691818181818,1.028283181818182,-0.412686
Qwen_2.5_7B_base,Qwen,base,0.3832575,-0.670021,-0.1731515,1.0532785,0.5564089999999999,-0.49686949999999996
Qwen_2.5_7B_instruct,Qwen,instruct,0.32954272727272726,-0.696204,-0.028801499999999994,1.0257467272727272,0.35834422727272724,-0.6674025
Qwen_3_14B_base,Qwen,base,0.3190565909090909,-1.0631475,0.361216,1.3822040909090907,-0.042159409090909095,-1.4243635
Qwen_3_8B_base,Qwen,base,0.3647118181818182,-0.6697415,-0.1326115,1.0344533181818183,0.4973233181818182,-0.53713
