tag,model,group,layer,vector_to_residual_ratio_at_coeff_1
S1,Gemma_2_27B_base,base,6,0.6538
S1,Gemma_2_27B_instruct,instruct,13,0.3154
S1,Gemma_2_2B_base,base,7,0.57305
S1,Gemma_2_2B_instruct,instruct,10,0.63275
S1,Gemma_2_9B_base,base,12,0.6065
S1,Gemma_2_9B_instruct,instruct,12,0.5038
S1,Gemma_3_27B_base,base,22,0.2861
S1,Gemma_3_27B_instruct,instruct,24,0.23375
S1,Llama_3.1_70B_base,base,32,0.6339
S1,Llama_3.1_70B_instruct,instruct,24,0.39765
S1,Llama_3.1_8B_base,base,12,0.62765
S1,Llama_3.1_8B_instruct,instruct,12,0.5802
S1,Llama_3.3_70B_instruct,instruct,24,0.36975
S1,Mistral_7B_base,base,12,0.78805
S1,Mistral_7B_instruct,instruct,12,0.7434
S1,Mistral_Small_24B_base,base,12,0.6469
S1,Phi_4,instruct,6,0.49675
S1,Qwen_2.5_32B_base,base,25,0.6112
S1,Qwen_2.5_32B_instruct,instruct,32,0.6111
S1,Qwen_2.5_72B_base,base,60,0.47175
S1,Qwen_2.5_72B_instruct,instruct,48,0.64895
S1,Qwen_2.5_7B_base,base,8,0.6494
S1,Qwen_2.5_7B_instruct,instruct,8,0.59635
S1,Qwen_3_14B_base,base,16,0.5365
S1,Qwen_3_8B_base,base,21,0.72305
S2,Gemma_2_27B_base,base,13,0.38355
S2,Gemma_2_27B_instruct,instruct,13,0.4772
S2,Gemma_2_2B_base,base,13,0.49795
S2,Gemma_2_2B_instruct,instruct,15,0.59105
S2,Gemma_2_9B_base,base,21,0.65025
S2,Gemma_2_9B_instruct,instruct,12,0.6978
S2,Gemma_3_27B_base,base,24,0.2822
S2,Gemma_3_27B_instruct,instruct,55,0.0948
S2,Llama_3.1_70B_base,base,40,0.5874
S2,Llama_3.1_70B_instruct,instruct,24,0.6196
S2,Llama_3.1_8B_base,base,16,0.6928
S2,Llama_3.1_8B_instruct,instruct,16,0.64
S2,Llama_3.3_70B_instruct,instruct,24,0.5617
S2,Mistral_7B_base,base,16,0.6498
S2,Mistral_7B_instruct,instruct,16,0.6745
S2,Mistral_Small_24B_base,base,16,0.70955
S2,Phi_4,instruct,12,0.3753
S2,Qwen_2.5_32B_base,base,32,0.61045
S2,Qwen_2.5_32B_instruct,instruct,38,0.63495
S2,Qwen_2.5_72B_base,base,60,0.6489
S2,Qwen_2.5_72B_instruct,instruct,60,0.4634
S2,Qwen_2.5_7B_base,base,16,0.66415
S2,Qwen_2.5_7B_instruct,instruct,16,0.6521
S2,Qwen_3_14B_base,base,20,0.54075
S2,Qwen_3_8B_base,base,27,0.34845
