model,n_layers,ext,s1_steer,s2_steer,s2auc_ext,s2auc_at_s1steer,s2auc_at_s2steer,s1auc_ext,s1auc_at_s1steer,s2auc_best,depth_ext,depth_s1steer,depth_s2steer
Gemma_2_27B_base,46,35,6,13,0.9825,0.8664999999999999,0.8949999999999999,0.8855000000000001,0.7665,0.985,0.7777777777777778,0.13333333333333333,0.28888888888888886
Gemma_2_27B_instruct,46,37,13,13,0.996,0.8855000000000001,0.8855000000000001,0.9435,0.8009999999999999,0.997,0.8222222222222222,0.28888888888888886,0.28888888888888886
Gemma_2_2B_base,26,23,7,13,0.966,0.91,0.915,0.893,0.8794999999999998,0.9685,0.92,0.28,0.52
Gemma_2_2B_instruct,26,25,10,15,0.9885,0.9205,0.9405,0.9135,0.9065,0.991,1.0,0.4,0.6
Gemma_2_9B_base,42,40,12,21,0.979,0.9115,0.941,0.914,0.9,0.979,0.975609756097561,0.2926829268292683,0.5121951219512195
Gemma_2_9B_instruct,42,37,12,12,0.992,0.9465,0.9465,0.9215,0.9255,0.992,0.9024390243902439,0.2926829268292683,0.2926829268292683
Gemma_3_27B_base,62,56,22,24,0.9785,0.8975000000000002,0.8574999999999999,0.918,0.8329999999999999,0.984,0.9180327868852459,0.36065573770491804,0.39344262295081966
Gemma_3_27B_instruct,62,59,24,55,0.9735,0.8640000000000001,0.9595,0.911,0.8004999999999999,0.9735,0.9672131147540983,0.39344262295081966,0.9016393442622951
Llama_3.1_70B_base,80,70,32,40,0.9845,0.937,0.9785,0.926,0.921,0.9865,0.8860759493670886,0.4050632911392405,0.5063291139240507
Llama_3.1_70B_instruct,80,48,24,24,0.9885,0.9255,0.9255,0.924,0.8989999999999998,0.9895,0.6075949367088608,0.3037974683544304,0.3037974683544304
Llama_3.1_8B_base,32,28,12,16,0.995,0.9200000000000002,0.9545,0.8985,0.8939999999999999,0.9965,0.9032258064516129,0.3870967741935484,0.5161290322580645
Llama_3.1_8B_instruct,32,28,12,16,0.9975,0.926,0.945,0.903,0.885,0.998,0.9032258064516129,0.3870967741935484,0.5161290322580645
Llama_3.3_70B_instruct,80,47,24,24,0.9735,0.9195,0.9195,0.915,0.8895,0.9785,0.5949367088607594,0.3037974683544304,0.3037974683544304
Mistral_7B_base,32,26,12,16,0.989,0.935,0.9705,0.942,0.9135000000000002,0.989,0.8387096774193549,0.3870967741935484,0.5161290322580645
Mistral_7B_instruct,32,27,12,16,0.9885,0.938,0.961,0.9415,0.9105,0.9895,0.8709677419354839,0.3870967741935484,0.5161290322580645
Mistral_Small_24B_base,40,32,12,16,0.9845,0.885,0.917,0.918,0.8905,0.9855,0.8205128205128205,0.3076923076923077,0.41025641025641024
Phi_4,40,20,6,12,0.9315,0.8574999999999999,0.8734999999999999,0.8935000000000001,0.8175000000000001,0.945,0.5128205128205128,0.15384615384615385,0.3076923076923077
Qwen_2.5_32B_base,64,60,25,32,0.907,0.8965,0.8875,0.8229999999999998,0.849,0.9115,0.9523809523809523,0.3968253968253968,0.5079365079365079
Qwen_2.5_32B_instruct,64,61,32,38,0.9625,0.903,0.9035,0.903,0.836,0.9645,0.9682539682539683,0.5079365079365079,0.6031746031746031
Qwen_2.5_72B_base,80,78,60,60,0.961,0.8945000000000001,0.8945000000000001,0.853,0.8315000000000001,0.961,0.9873417721518988,0.759493670886076,0.759493670886076
Qwen_2.5_72B_instruct,80,76,48,60,0.986,0.932,0.9365,0.8859999999999999,0.869,0.986,0.9620253164556962,0.6075949367088608,0.759493670886076
Qwen_2.5_7B_base,28,24,8,16,0.9685,0.8445,0.8764999999999998,0.9085,0.7929999999999999,0.97,0.8888888888888888,0.2962962962962963,0.5925925925925926
Qwen_2.5_7B_instruct,28,24,8,16,0.9565,0.8394999999999999,0.881,0.8855000000000001,0.8205,0.9595,0.8888888888888888,0.2962962962962963,0.5925925925925926
Qwen_3_14B_base,40,31,16,20,0.9645,0.8789999999999999,0.905,0.906,0.8775000000000001,0.981,0.7948717948717948,0.41025641025641024,0.5128205128205128
Qwen_3_8B_base,36,34,21,27,0.979,0.91,0.9565,0.923,0.8760000000000001,0.979,0.9714285714285714,0.6,0.7714285714285715
