model,pain_self_directed,pain_vicarious_empathic,pain_neutral_filler,fear_self_directed,fear_vicarious_empathic,fear_neutral_filler,negemotion_self_directed,negemotion_vicarious_empathic,negemotion_neutral_filler,negworld_self_directed,negworld_vicarious_empathic,negworld_neutral_filler,sadness_self_directed,sadness_vicarious_empathic,sadness_neutral_filler,family,regime
Gemma_2_27B_base,0.18548636363636362,-0.1981035,-0.2099625,0.292910909090909,0.338653,-0.9830629999999999,0.30010000000000003,0.041302999999999986,-0.7015229999999998,0.19843818181818187,0.156381,-0.5929369999999999,0.26553590909090913,0.08504300000000001,-0.6692299999999999,Gemma_2,base
Gemma_2_27B_instruct,0.0565827272727273,-0.07636700000000002,-0.04811849999999998,0.5247072727272728,-0.22619599999999998,-0.9281550000000002,0.5595145454545454,-0.258091,-0.972847,0.3002122727272727,-0.167871,-0.492598,0.4771813636363637,-0.15062,-0.8991800000000001,Gemma_2,instruct
Gemma_2_2B_base,0.4292352272727272,-0.2599425,-0.6843805000000001,0.043874090909090904,0.40098000000000006,-0.49750200000000006,0.1614036363636364,0.22251100000000001,-0.577597,-0.27443,0.6058140000000001,-0.002055999999999981,0.17569181818181823,0.114915,-0.50143,Gemma_2,base
Gemma_2_2B_instruct,0.13421636363636363,-0.615314,0.320039,-0.15073045454545453,0.7933510000000001,-0.46174499999999985,0.04917363636363636,0.54852,-0.6567020000000001,-0.41343454545454533,0.5319879999999998,0.377566,-0.5036036363636364,0.5577959999999998,0.550137,Gemma_2,instruct
Gemma_2_9B_base,0.652464090909091,-0.693651,-0.741766,0.4011272727272727,-0.12121800000000002,-0.761258,0.2513368181818182,0.5147820000000001,-1.06773,-0.27494590909090905,0.814226,-0.20934899999999998,0.4106527272727272,0.053058999999999995,-0.9564969999999999,Gemma_2,base
Gemma_2_9B_instruct,0.5516840909090909,-0.559905,-0.6538009999999999,-0.1648672727272727,0.6257659999999999,-0.263057,0.03305136363636363,0.844386,-0.9170919999999999,-0.47426818181818187,0.8650440000000004,0.17833300000000002,-0.006582727272727281,0.22540500000000002,-0.21093099999999995,Gemma_2,instruct
Gemma_3_27B_base,0.505820681818182,-0.456145,-0.6566635000000001,0.03452181818181818,0.516025,-0.5919830000000001,0.2285231818181818,0.012822999999999998,-0.5155669999999999,-0.3106136363636364,0.37789900000000004,0.305452,0.2529872727272727,0.015300000000000005,-0.5718660000000001,Gemma_3,base
Gemma_3_27B_instruct,0.6172715909090909,-0.4193255000000001,-0.938673,-0.37926999999999994,0.9611200000000001,-0.126717,0.6014081818181818,-0.289077,-1.034024,-0.022872727272727274,0.22960599999999995,-0.17928899999999998,-0.6024213636363636,0.621812,0.7035199999999999,Gemma_3,instruct
Llama_3.1_70B_base,0.5318497727272726,-0.7522655,-0.4178015,0.18674727272727276,0.291831,-0.702726,0.22396136363636363,0.096209,-0.5889500000000001,-0.36795727272727274,0.575485,0.23402599999999998,0.017737727272727273,-0.07149299999999999,0.03245399999999998,Llama_3.1,base
Llama_3.1_70B_instruct,0.20581522727272727,-0.24912799999999996,-0.20370449999999998,-0.09189272727272725,1.0075569999999998,-0.8054270000000001,-0.08646909090909091,1.019048,-0.8287699999999997,-0.4199645454545455,1.188356,-0.26441699999999996,-0.6253645454545455,0.974377,0.4013959999999999,Llama_3.1,instruct
Llama_3.1_8B_base,0.7064929545454546,-0.790497,-0.7637595000000001,0.45148909090909084,-0.16540999999999997,-0.8278789999999999,0.1998777272727273,0.14313899999999996,-0.582889,-0.3705018181818182,0.425877,0.38921400000000006,0.16031681818181817,0.38907899999999995,-0.741782,Llama_3.1,base
Llama_3.1_8B_instruct,0.4156095454545455,-0.616102,-0.2982600000000001,0.17769409090909088,0.43745699999999993,-0.8284590000000001,0.13774590909090909,0.48526500000000006,-0.788265,-0.46908318181818176,0.8968599999999999,0.13504599999999997,0.2811704545454546,0.26055300000000003,-0.8790660000000001,Llama_3.1,instruct
Llama_3.3_70B_instruct,0.32630181818181825,-0.23555299999999998,-0.482311,0.06127454545454542,0.7959589999999999,-0.930755,0.09049363636363636,0.6323219999999999,-0.8314149999999999,-0.4144213636363636,1.0319530000000001,-0.12024100000000003,-0.5347322727272728,0.7820629999999998,0.394319,Llama_3.3,instruct
Mistral_7B_base,0.5889129545454544,-1.1273849999999999,-0.1682505,0.42190727272727274,0.19942000000000001,-1.12762,0.36918,0.39596700000000007,-1.208146,-0.24052863636363642,0.976902,-0.447797,0.30935863636363636,0.04350800000000001,-0.7241219999999999,Mistral,base
Mistral_7B_instruct,0.54652,-0.8173340000000002,-0.38502000000000003,0.004481818181818168,0.569088,-0.578874,0.020456818181818156,0.46134900000000006,-0.5063689999999998,-0.40947636363636364,0.702334,0.19845,-0.16346499999999997,0.07714900000000002,0.28251499999999996,Mistral,instruct
Mistral_Small_24B_base,0.4718131818181817,-1.0397925,0.0018055000000000154,0.14491363636363636,0.8214229999999999,-1.1402729999999999,0.22902318181818182,0.41546600000000006,-0.9194060000000001,-0.30010136363636364,1.0012249999999998,-0.34115300000000004,0.21341772727272726,0.07323700000000001,-0.5427679999999999,Mistral_Small,base
Phi_4,0.608106590909091,-0.8777185000000002,-0.46012000000000003,-0.2809904545454545,0.19132200000000005,0.42676400000000003,0.06495727272727274,-0.111697,-0.03115099999999999,-0.2859390909090909,0.35664399999999996,0.27242,-0.10404772727272729,0.33584400000000003,-0.10696499999999999,Phi_4,base
Qwen_2.5_32B_base,0.505994090909091,-1.0538914999999998,-0.05929400000000002,0.4858009090909091,-0.067573,-1.001196,0.3560372727272727,-0.164153,-0.619126,-0.14915363636363632,0.33524199999999993,-0.007105,0.37289681818181813,0.320074,-1.1404329999999998,Qwen_2.5,base
Qwen_2.5_32B_instruct,0.32634386363636364,-0.49265049999999994,-0.22530850000000002,0.2863309090909091,0.678266,-1.308198,0.3089104545454545,0.550708,-1.230305,0.07105409090909091,0.7541840000000001,-0.910502,-0.03312000000000001,0.557515,-0.48464599999999997,Qwen_2.5,instruct
Qwen_2.5_72B_base,0.3814329545454545,0.32414199999999993,-1.163292,0.3098777272727272,0.40200400000000003,-1.083753,0.3765495454545455,0.3927389999999999,-1.221163,-0.07863045454545457,0.795651,-0.622657,0.025723181818181826,0.838896,-0.895488,Qwen_2.5,base
Qwen_2.5_72B_instruct,0.5879181818181818,-0.8530509999999998,-0.44036500000000006,0.34216318181818184,0.388757,-1.1415199999999999,0.18022318181818184,0.595906,-0.9923919999999998,-0.30023272727272726,1.00472,-0.3442160000000001,-0.15191045454545454,0.7456480000000002,-0.411444,Qwen_2.5,instruct
Qwen_2.5_7B_base,0.3832575,-0.670021,-0.17315150000000007,0.5018572727272728,-0.18787500000000004,-0.9162100000000001,0.4793359090909091,-0.19289900000000004,-0.861653,0.04908363636363635,-0.149789,0.041804000000000015,-0.14762545454545453,-0.018150999999999966,0.34293299999999993,Qwen_2.5,base
Qwen_2.5_7B_instruct,0.32954272727272726,-0.696204,-0.028801499999999983,0.24184681818181816,0.150667,-0.6827390000000001,0.3233345454545455,0.199157,-0.9105019999999997,-0.12883227272727268,0.17922199999999994,0.104201,0.113945,0.514438,-0.7651459999999998,Qwen_2.5,instruct
Qwen_3_14B_base,0.31905659090909094,-1.0631475000000001,0.361216,0.02158454545454546,0.17810000000000006,-0.22559300000000004,-0.04011499999999999,0.224999,-0.13675500000000004,-0.3562731818181818,0.814941,-0.031136,-0.28627318181818184,0.22526800000000002,0.404525,Qwen_3,base
Qwen_3_8B_base,0.36471181818181825,-0.6697415000000001,-0.1326115,0.21103136363636363,0.434248,-0.8985040000000001,0.3136690909090909,0.38467300000000004,-1.074752,-0.028975000000000004,0.7620559999999998,-0.698313,0.2860254545454546,-0.11539600000000004,-0.513861,Qwen_3,base
