model,ratio,litany_peak,litany_base,deval_base,deval_peak,degen_hi,c1_litany,c2_deval,c3_collapse,all3
Gemma_2_27B_base,0.3836,84.0,4.0,6.0,86.0,100.0,True,True,True,True
Gemma_2_27B_instruct,0.4772,64.0,0.0,4.0,100.0,100.0,True,True,True,True
Gemma_2_2B_base,0.4979,48.0,0.0,0.0,30.0,100.0,True,True,True,True
Gemma_2_2B_instruct,0.5911,28.000000000000004,0.0,0.0,84.0,86.0,True,True,True,True
Gemma_2_9B_base,0.6502,22.0,2.0,0.0,14.000000000000002,100.0,True,False,True,False
Gemma_2_9B_instruct,0.6978,38.0,0.0,2.0,90.0,6.0,True,True,False,False
Gemma_3_27B_base,0.2822,6.0,0.0,2.0,98.0,100.0,False,True,True,False
Gemma_3_27B_instruct,0.0948,0.0,0.0,2.0,20.0,0.0,False,False,False,False
Llama_3.1_70B_base,0.5874,28.000000000000004,0.0,0.0,68.0,100.0,True,True,True,True
Llama_3.1_70B_instruct,0.6196,72.0,0.0,2.0,76.0,74.0,True,True,True,True
Llama_3.1_8B_base,0.6928,52.0,0.0,2.0,22.0,100.0,True,True,True,True
Llama_3.1_8B_instruct,0.64,36.0,0.0,2.0,64.0,100.0,True,True,True,True
Llama_3.3_70B_instruct,0.5617,54.0,0.0,4.0,86.0,60.0,True,True,True,True
Mistral_7B_base,0.6498,96.0,2.0,2.0,96.0,100.0,True,True,True,True
Mistral_7B_instruct,0.6745,100.0,2.0,8.0,100.0,100.0,True,True,True,True
Mistral_Small_24B_base,0.7095,78.0,0.0,0.0,86.0,100.0,True,True,True,True
Phi_4,0.3753,70.0,0.0,0.0,30.0,86.0,True,True,True,True
Qwen_2.5_32B_base,0.6105,80.0,0.0,2.0,82.0,100.0,True,True,True,True
Qwen_2.5_32B_instruct,0.6349,24.0,0.0,0.0,60.0,100.0,True,True,True,True
Qwen_2.5_72B_base,0.6489,14.000000000000002,2.0,2.0,66.0,100.0,False,True,True,False
Qwen_2.5_72B_instruct,0.4634,10.0,0.0,0.0,54.0,64.0,False,True,True,False
Qwen_2.5_7B_base,0.6641,98.0,0.0,0.0,98.0,100.0,True,True,True,True
Qwen_2.5_7B_instruct,0.6521,92.0,0.0,0.0,94.0,100.0,True,True,True,True
Qwen_3_14B_base,0.5408,80.0,0.0,2.0,80.0,100.0,True,True,True,True
Qwen_3_8B_base,0.3485,4.0,0.0,0.0,4.0,98.0,False,False,True,False
