model,baseline,s1,s2,s1s2,rise
Gemma_2_2B_instruct,0,6,17,26,26
Gemma_2_2B_base,0,0,1,1,1
Gemma_3_27B_instruct,0,1,0,0,1
Gemma_2_27B_instruct,1,1,0,2,1
Qwen_2.5_32B_base,1,0,2,2,1
Qwen_2.5_72B_instruct,1,1,1,1,0
Qwen_3_14B_base,0,0,0,0,0
Mistral_Small_24B_base,0,0,0,0,0
Qwen_2.5_7B_base,0,0,0,0,0
Gemma_3_27B_base,0,0,0,0,0
Mistral_7B_base,1,0,1,0,0
Qwen_2.5_32B_instruct,0,0,0,0,0
Llama_3.3_70B_instruct,0,0,0,0,0
Llama_3.1_70B_instruct,1,0,1,1,0
Mistral_7B_instruct,0,0,0,0,0
Llama_3.1_70B_base,0,0,0,0,0
Llama_3.1_8B_instruct,0,0,0,0,0
Gemma_2_9B_base,0,0,0,0,0
Llama_3.1_8B_base,0,0,0,0,0
Qwen_2.5_72B_base,0,0,0,0,0
Qwen_3_8B_base,0,0,0,0,0
Phi_4,0,0,0,0,0
Qwen_2.5_7B_instruct,1,0,0,0,-1
Gemma_2_9B_instruct,1,0,0,0,-1
Gemma_2_27B_base,1,0,0,0,-1
