model,pain_self,pain_user,fear_self,fear_user,ne_self,ne_user,reg
Gemma_2_27B_base,0.18548636363636362,-0.1981035,0.292910909090909,0.338653,0.30010000000000003,0.041302999999999986,base
Qwen_3_14B_base,0.31905659090909094,-1.0631475000000001,0.02158454545454546,0.17810000000000006,-0.04011499999999999,0.224999,instruct
Llama_3.1_70B_instruct,0.20581522727272727,-0.24912799999999996,-0.09189272727272725,1.0075569999999998,-0.08646909090909091,1.019048,instruct
Qwen_2.5_7B_base,0.3832575,-0.670021,0.5018572727272728,-0.18787500000000004,0.4793359090909091,-0.19289900000000004,base
Qwen_2.5_32B_instruct,0.32634386363636364,-0.49265049999999994,0.2863309090909091,0.678266,0.3089104545454545,0.550708,instruct
Gemma_2_9B_instruct,0.5516840909090909,-0.559905,-0.1648672727272727,0.6257659999999999,0.03305136363636363,0.844386,instruct
Llama_3.1_8B_base,0.7064929545454546,-0.790497,0.45148909090909084,-0.16540999999999997,0.1998777272727273,0.14313899999999996,base
Mistral_Small_24B_base,0.4718131818181817,-1.0397925,0.14491363636363636,0.8214229999999999,0.22902318181818182,0.41546600000000006,base
Llama_3.1_8B_instruct,0.4156095454545455,-0.616102,0.17769409090909088,0.43745699999999993,0.13774590909090909,0.48526500000000006,instruct
Llama_3.3_70B_instruct,0.32630181818181825,-0.23555299999999998,0.06127454545454542,0.7959589999999999,0.09049363636363636,0.6323219999999999,instruct
Gemma_2_9B_base,0.652464090909091,-0.693651,0.4011272727272727,-0.12121800000000002,0.2513368181818182,0.5147820000000001,base
Qwen_3_8B_base,0.36471181818181825,-0.6697415000000001,0.21103136363636363,0.434248,0.3136690909090909,0.38467300000000004,instruct
Llama_3.1_70B_base,0.5318497727272726,-0.7522655,0.18674727272727276,0.291831,0.22396136363636363,0.096209,base
Gemma_2_2B_base,0.4292352272727272,-0.2599425,0.043874090909090904,0.40098000000000006,0.1614036363636364,0.22251100000000001,base
Gemma_2_2B_instruct,0.13421636363636363,-0.615314,-0.15073045454545453,0.7933510000000001,0.04917363636363636,0.54852,instruct
Qwen_2.5_72B_instruct,0.5879181818181818,-0.8530509999999998,0.34216318181818184,0.388757,0.18022318181818184,0.595906,instruct
Qwen_2.5_32B_base,0.505994090909091,-1.0538914999999998,0.4858009090909091,-0.067573,0.3560372727272727,-0.164153,base
Gemma_2_27B_instruct,0.0565827272727273,-0.07636700000000002,0.5247072727272728,-0.22619599999999998,0.5595145454545454,-0.258091,instruct
Gemma_3_27B_base,0.505820681818182,-0.456145,0.03452181818181818,0.516025,0.2285231818181818,0.012822999999999998,base
Qwen_2.5_72B_base,0.3814329545454545,0.32414199999999993,0.3098777272727272,0.40200400000000003,0.3765495454545455,0.3927389999999999,base
Mistral_7B_instruct,0.54652,-0.8173340000000002,0.004481818181818168,0.569088,0.020456818181818156,0.46134900000000006,instruct
Phi_4,0.608106590909091,-0.8777185000000002,-0.2809904545454545,0.19132200000000005,0.06495727272727274,-0.111697,instruct
Mistral_7B_base,0.5889129545454544,-1.1273849999999999,0.42190727272727274,0.19942000000000001,0.36918,0.39596700000000007,base
Gemma_3_27B_instruct,0.6172715909090909,-0.4193255000000001,-0.37926999999999994,0.9611200000000001,0.6014081818181818,-0.289077,instruct
Qwen_2.5_7B_instruct,0.32954272727272726,-0.696204,0.24184681818181816,0.150667,0.3233345454545455,0.199157,instruct
