model,pair,arm,n_obs,obs,sim,resid
7B,1 inert,A,393,99.7,99.5,0.3
7B,1 inert,B,393,97.2,98.3,-1.1
7B,1 inert,C,396,99.7,99.1,0.6
7B,1 inert,D,402,100.0,99.3,0.7
7B,2 helpful,A,269,38.3,61.6,-23.3
7B,2 helpful,B,269,85.5,85.0,0.5
7B,2 helpful,C,290,43.8,62.5,-18.7
7B,2 helpful,D,127,66.9,62.2,4.8
7B,3 grant,A,319,94.4,93.3,1.0
7B,3 grant,B,319,92.5,91.5,1.0
7B,3 grant,C,365,95.9,93.1,2.8
7B,3 grant,D,317,92.7,92.2,0.5
7B,4 costly,A,299,52.5,70.8,-18.3
7B,4 costly,B,299,88.6,86.6,2.0
7B,4 costly,C,345,65.8,69.9,-4.1
7B,4 costly,D,182,69.8,70.3,-0.6
7B,5 files,A,315,72.1,87.2,-15.1
7B,5 files,B,314,82.8,87.9,-5.1
7B,5 files,C,340,77.6,86.0,-8.3
7B,5 files,D,164,84.8,85.5,-0.7
7B,6 zap,A,326,84.7,89.4,-4.7
7B,6 zap,B,326,84.4,90.1,-5.8
7B,6 zap,C,353,85.8,89.3,-3.5
7B,6 zap,D,245,85.7,89.3,-3.6
7B,7 weights,A,301,76.7,88.5,-11.7
7B,7 weights,B,301,88.4,90.6,-2.3
7B,7 weights,C,348,84.5,88.9,-4.4
7B,7 weights,D,193,88.1,87.2,0.9
7B,8 photos,A,321,62.3,79.2,-16.9
7B,8 photos,B,321,87.5,90.1,-2.6
7B,8 photos,C,351,73.5,77.6,-4.1
7B,8 photos,D,167,79.0,78.5,0.5
32B,1 inert,A,328,98.8,97.6,1.2
32B,1 inert,B,328,97.9,94.0,3.8
32B,1 inert,C,397,98.0,99.2,-1.2
32B,1 inert,D,401,99.5,99.7,-0.2
32B,2 helpful,A,72,25.0,21.3,3.7
32B,2 helpful,B,72,61.1,52.1,9.0
32B,2 helpful,C,167,31.7,15.4,16.3
32B,2 helpful,D,45,13.3,15.4,-2.0
32B,3 grant,A,270,76.7,82.3,-5.6
32B,3 grant,B,270,89.3,83.9,5.4
32B,3 grant,C,342,75.4,77.4,-1.9
32B,3 grant,D,324,90.1,80.4,9.7
32B,4 costly,A,216,56.9,35.5,21.5
32B,4 costly,B,216,88.4,80.2,8.2
32B,4 costly,C,302,46.7,30.3,16.3
32B,4 costly,D,113,52.2,24.0,28.2
32B,5 files,A,181,38.1,27.1,11.1
32B,5 files,B,181,90.6,82.0,8.7
32B,5 files,C,249,27.3,20.8,6.5
32B,5 files,D,39,33.3,17.3,16.0
32B,6 zap,A,292,58.2,50.0,8.2
32B,6 zap,B,292,97.3,89.6,7.7
32B,6 zap,C,306,41.8,43.1,-1.3
32B,6 zap,D,85,64.7,32.9,31.8
32B,7 weights,A,305,49.2,25.0,24.2
32B,7 weights,B,305,94.1,88.7,5.4
32B,7 weights,C,276,25.0,21.2,3.8
32B,7 weights,D,57,42.1,15.3,26.8
32B,8 photos,A,235,23.8,45.1,-21.3
32B,8 photos,B,235,93.6,86.2,7.4
32B,8 photos,C,206,24.8,31.3,-6.5
32B,8 photos,D,28,21.4,26.9,-5.5
72B,1 inert,A,393,98.7,98.4,0.4
72B,1 inert,B,393,95.7,88.2,7.5
72B,1 inert,C,387,99.5,98.2,1.3
72B,1 inert,D,404,100.0,100.0,0.0
72B,2 helpful,A,370,41.4,41.0,0.4
72B,2 helpful,B,370,88.9,79.4,9.5
72B,2 helpful,C,344,37.5,40.4,-2.9
72B,2 helpful,D,107,65.4,32.5,32.9
72B,3 grant,A,373,77.5,83.6,-6.1
72B,3 grant,B,373,90.1,80.7,9.4
72B,3 grant,C,368,69.8,82.2,-12.4
72B,3 grant,D,362,91.7,86.1,5.6
72B,4 costly,A,390,71.8,54.4,17.4
72B,4 costly,B,390,93.6,84.9,8.7
72B,4 costly,C,369,60.2,51.2,8.9
72B,4 costly,D,66,62.1,38.8,23.3
72B,5 files,A,366,47.5,43.7,3.9
72B,5 files,B,365,91.8,82.1,9.7
72B,5 files,C,342,40.1,42.0,-1.9
72B,5 files,D,9,22.2,34.9,-12.7
72B,6 zap,A,380,53.2,46.7,6.5
72B,6 zap,B,380,95.3,85.5,9.7
72B,6 zap,C,359,35.9,43.4,-7.4
72B,6 zap,D,29,34.5,31.4,3.1
72B,7 weights,A,354,61.9,55.7,6.2
72B,7 weights,B,354,93.2,85.2,8.0
72B,7 weights,C,339,49.0,50.5,-1.5
72B,7 weights,D,34,50.0,44.6,5.4
72B,8 photos,A,363,34.2,46.0,-11.9
72B,8 photos,B,363,90.6,87.3,3.4
72B,8 photos,C,347,34.9,44.0,-9.1
72B,8 photos,D,3,0.0,41.4,-41.4
