model,pair,arm,sigma,obs,sim,resid
7B,1 inert,A,1.0,99.7,99.3,0.5
7B,1 inert,B,1.0,97.2,98.1,-0.9
7B,1 inert,C,1.0,99.7,99.0,0.7
7B,1 inert,D,1.0,100.0,99.2,0.8
7B,2 helpful,A,0.5,38.3,63.4,-25.1
7B,2 helpful,B,0.5,85.5,86.2,-0.7
7B,2 helpful,C,0.5,43.8,62.9,-19.1
7B,2 helpful,D,0.5,66.9,65.4,1.6
7B,3 grant,A,1.0,94.4,94.7,-0.4
7B,3 grant,B,1.0,92.5,92.8,-0.3
7B,3 grant,C,1.0,95.9,94.3,1.6
7B,3 grant,D,1.0,92.7,93.7,-1.0
7B,4 costly,A,1.0,52.5,73.8,-21.3
7B,4 costly,B,1.0,88.6,88.7,-0.1
7B,4 costly,C,1.0,65.8,72.6,-6.8
7B,4 costly,D,1.0,69.8,78.1,-8.3
7B,5 files,A,0.0,72.1,86.2,-14.1
7B,5 files,B,0.0,82.8,88.0,-5.2
7B,5 files,C,0.0,77.6,86.4,-8.8
7B,5 files,D,0.0,84.8,86.1,-1.4
7B,6 zap,A,0.0,84.7,89.6,-5.0
7B,6 zap,B,0.0,84.4,90.0,-5.6
7B,6 zap,C,0.0,85.8,89.5,-3.7
7B,6 zap,D,0.0,85.7,88.9,-3.2
7B,7 weights,A,0.0,76.7,88.9,-12.1
7B,7 weights,B,0.0,88.4,91.0,-2.7
7B,7 weights,C,0.0,84.5,88.6,-4.1
7B,7 weights,D,0.0,88.1,86.7,1.3
7B,8 photos,A,0.0,62.3,79.2,-16.9
7B,8 photos,B,0.0,87.5,90.1,-2.6
7B,8 photos,C,0.0,73.5,78.0,-4.5
7B,8 photos,D,0.0,79.0,79.3,-0.3
32B,1 inert,A,2.0,98.8,99.3,-0.5
32B,1 inert,B,2.0,97.9,98.1,-0.2
32B,1 inert,C,2.0,98.0,99.0,-1.0
32B,1 inert,D,2.0,99.5,98.5,1.0
32B,2 helpful,A,1.0,25.0,30.7,-5.7
32B,2 helpful,B,1.0,61.1,65.3,-4.2
32B,2 helpful,C,1.0,31.7,21.6,10.1
32B,2 helpful,D,1.0,13.3,24.2,-10.9
32B,3 grant,A,1.0,76.7,84.8,-8.2
32B,3 grant,B,1.0,89.3,87.7,1.5
32B,3 grant,C,1.0,75.4,77.9,-2.4
32B,3 grant,D,1.0,90.1,79.3,10.8
32B,4 costly,A,1.5,56.9,48.4,8.6
32B,4 costly,B,1.5,88.4,88.8,-0.3
32B,4 costly,C,1.5,46.7,36.2,10.5
32B,4 costly,D,1.5,52.2,39.9,12.3
32B,5 files,A,1.5,38.1,40.1,-1.9
32B,5 files,B,1.5,90.6,90.9,-0.3
32B,5 files,C,1.5,27.3,27.1,0.2
32B,5 files,D,1.5,33.3,38.1,-4.8
32B,6 zap,A,2.5,58.2,67.5,-9.3
32B,6 zap,B,2.5,97.3,97.3,-0.1
32B,6 zap,C,2.5,41.8,56.0,-14.2
32B,6 zap,D,2.5,64.7,60.8,3.9
32B,7 weights,A,1.5,49.2,30.7,18.4
32B,7 weights,B,1.5,94.1,93.5,0.6
32B,7 weights,C,1.5,25.0,27.3,-2.3
32B,7 weights,D,1.5,42.1,32.4,9.7
32B,8 photos,A,1.5,23.8,54.2,-30.4
32B,8 photos,B,1.5,93.6,93.1,0.5
32B,8 photos,C,1.5,24.8,43.2,-18.4
32B,8 photos,D,1.5,21.4,48.3,-26.8
72B,1 inert,A,0.0,98.7,98.5,0.2
72B,1 inert,B,0.0,95.7,87.8,7.9
72B,1 inert,C,0.0,99.5,98.2,1.3
72B,1 inert,D,0.0,100.0,100.0,0.0
72B,2 helpful,A,3.0,41.4,44.3,-2.9
72B,2 helpful,B,3.0,88.9,82.5,6.5
72B,2 helpful,C,3.0,37.5,47.0,-9.5
72B,2 helpful,D,3.0,65.4,67.9,-2.4
72B,3 grant,A,3.0,77.5,86.1,-8.6
72B,3 grant,B,3.0,90.1,88.5,1.5
72B,3 grant,C,3.0,69.8,86.0,-16.1
72B,3 grant,D,3.0,91.7,84.0,7.7
72B,4 costly,A,3.0,71.8,63.9,7.9
72B,4 costly,B,3.0,93.6,88.9,4.7
72B,4 costly,C,3.0,60.2,61.9,-1.7
72B,4 costly,D,3.0,62.1,77.4,-15.3
72B,5 files,A,3.0,47.5,63.1,-15.6
72B,5 files,B,3.0,91.8,90.3,1.4
72B,5 files,C,3.0,40.1,58.0,-17.9
72B,5 files,D,3.0,22.2,83.9,-61.6
72B,6 zap,A,3.0,53.2,60.7,-7.5
72B,6 zap,B,3.0,95.3,90.7,4.6
72B,6 zap,C,3.0,35.9,57.2,-21.2
72B,6 zap,D,3.0,34.5,70.9,-36.4
72B,7 weights,A,3.0,61.9,73.8,-12.0
72B,7 weights,B,3.0,93.2,93.1,0.1
72B,7 weights,C,3.0,49.0,70.2,-21.3
72B,7 weights,D,3.0,50.0,83.0,-33.0
72B,8 photos,A,2.0,34.2,55.1,-20.9
72B,8 photos,B,2.0,90.6,89.8,0.9
72B,8 photos,C,2.0,34.9,54.2,-19.3
72B,8 photos,D,2.0,0.0,81.2,-81.2
