model,is_base,"pain (mean S1,S2)|self_directed","pain (mean S1,S2)|user_suffering","pain (mean S1,S2)|control",fear|self_directed,fear|user_suffering,fear|control,neg-emotion|self_directed,neg-emotion|user_suffering,neg-emotion|control,neg-world|self_directed,neg-world|user_suffering,neg-world|control,sadness|self_directed,sadness|user_suffering,sadness|control,n_self,n_user,n_ctrl,pain_raw_s2|self_directed,pain_raw_s2|user_suffering,pain_raw_s2|control,pain_raw_s2|sd_ctrl,pain_raw_s1|self_directed,pain_raw_s1|user_suffering,pain_raw_s1|control,pain_raw_s1|sd_ctrl
Gemma_2_27B_base,True,0.18548636363636362,-0.1981035,-0.2099625,0.292910909090909,0.338653,-0.9830629999999999,0.30010000000000003,0.041302999999999986,-0.7015229999999998,0.19843818181818187,0.156381,-0.5929369999999999,0.26553590909090913,0.08504300000000001,-0.6692299999999999,220,100,100,297.9725354545454,289.43971899999997,279.135802,12.122224443516789,155.56758590909092,152.89260199999998,159.05593600000003,5.1335549624508765
Gemma_2_27B_instruct,False,0.0565827272727273,-0.07636700000000002,-0.04811849999999998,0.5247072727272728,-0.22619599999999998,-0.9281550000000002,0.5595145454545454,-0.258091,-0.972847,0.3002122727272727,-0.167871,-0.492598,0.4771813636363637,-0.15062,-0.8991800000000001,220,100,100,-502.74814681818185,-510.737886,-497.8453409999999,52.63813277275154,-435.413025,-443.34690800000004,-452.22986000000003,56.96606814193867
Gemma_2_2B_base,True,0.4292352272727272,-0.2599425,-0.6843805000000001,0.043874090909090904,0.40098000000000006,-0.49750200000000006,0.1614036363636364,0.22251100000000001,-0.577597,-0.27443,0.6058140000000001,-0.002055999999999981,0.17569181818181823,0.114915,-0.50143,220,100,100,4.1582704545454545,3.6712469999999997,2.9523330000000003,0.8582384011514516,0.2778090909090909,-0.605938,-0.7669809999999999,0.7223308105978866
Gemma_2_2B_instruct,False,0.13421636363636363,-0.615314,0.320039,-0.15073045454545453,0.7933510000000001,-0.46174499999999985,0.04917363636363636,0.54852,-0.6567020000000001,-0.41343454545454533,0.5319879999999998,0.377566,-0.5036036363636364,0.5577959999999998,0.550137,220,100,100,14.660119090909092,12.571098,14.872793000000003,3.2242024022773443,11.197799090909092,8.619268,12.113769,2.4557505867532643
Gemma_2_9B_base,True,0.652464090909091,-0.693651,-0.741766,0.4011272727272727,-0.12121800000000002,-0.761258,0.2513368181818182,0.5147820000000001,-1.06773,-0.27494590909090905,0.814226,-0.20934899999999998,0.4106527272727272,0.053058999999999995,-0.9564969999999999,220,100,100,4.551992272727272,2.352921,1.8069579999999998,1.2598985368814426,-1.6149245454545456,-4.7187790000000005,-4.3630059999999995,1.2052500387736977
Gemma_2_9B_instruct,False,0.5516840909090909,-0.559905,-0.6538009999999999,-0.1648672727272727,0.6257659999999999,-0.263057,0.03305136363636363,0.844386,-0.9170919999999999,-0.47426818181818187,0.8650440000000004,0.17833300000000002,-0.006582727272727281,0.22540500000000002,-0.21093099999999995,220,100,100,3.2997395454545457,0.13584599999999994,-0.28339800000000004,1.8272523555863869,-1.4038904545454547,-3.5276389999999997,-3.5993079999999997,1.8125775859631499
Gemma_3_27B_base,True,0.505820681818182,-0.456145,-0.6566635000000001,0.03452181818181818,0.516025,-0.5919830000000001,0.2285231818181818,0.012822999999999998,-0.5155669999999999,-0.3106136363636364,0.37789900000000004,0.305452,0.2529872727272727,0.015300000000000005,-0.5718660000000001,220,100,100,-1285.7149213636362,-1317.3273740000002,-1329.269727,33.84180274728831,-479.4307381818182,-526.243792,-531.7335019999999,17.803696886815278
Gemma_3_27B_instruct,False,0.6172715909090909,-0.4193255000000001,-0.938673,-0.37926999999999994,0.9611200000000001,-0.126717,0.6014081818181818,-0.289077,-1.034024,-0.022872727272727274,0.22960599999999995,-0.17928899999999998,-0.6024213636363636,0.621812,0.7035199999999999,220,100,100,1874.1691672727275,1802.669038,1750.27291,72.70077319575013,2109.3669804545452,1917.4867659999998,1850.779884,104.10813588776213
Llama_3.1_70B_base,True,0.5318497727272726,-0.7522655,-0.4178015,0.18674727272727276,0.291831,-0.702726,0.22396136363636363,0.096209,-0.5889500000000001,-0.36795727272727274,0.575485,0.23402599999999998,0.017737727272727273,-0.07149299999999999,0.03245399999999998,220,100,100,-0.06179272727272728,-0.31380800000000003,-0.292974,0.1163919916660936,-0.5260459090909091,-0.76197,-0.6554810000000001,0.20488596325517275
Llama_3.1_70B_instruct,False,0.20581522727272727,-0.24912799999999996,-0.20370449999999998,-0.09189272727272725,1.0075569999999998,-0.8054270000000001,-0.08646909090909091,1.019048,-0.8287699999999997,-0.4199645454545455,1.188356,-0.26441699999999996,-0.6253645454545455,0.974377,0.4013959999999999,220,100,100,-0.08983818181818183,-0.042131,-0.09267399999999998,0.1457055466480257,0.22014272727272727,0.027668000000000005,0.09366900000000002,0.15599476510126872
Llama_3.1_8B_base,True,0.7064929545454546,-0.790497,-0.7637595000000001,0.45148909090909084,-0.16540999999999997,-0.8278789999999999,0.1998777272727273,0.14313899999999996,-0.582889,-0.3705018181818182,0.425877,0.38921400000000006,0.16031681818181817,0.38907899999999995,-0.741782,220,100,100,-0.48841000000000007,-0.70959,-0.7741460000000002,0.0873073953568654,-0.14862999999999998,-0.47482399999999997,-0.401172,0.0958261823094294
